gene	pct.1	pct.2	enrich.ratio	avg_logFC	gene.score	p_val_adj
FUBP1	0.298	0.401	0.74314	0.06741	0.05009	0.00263
AUP1	0.136	0.189	0.71958	0.06933	0.04988	0.03617
SF3A2	0.127	0.184	0.69022	0.07222	0.04985	0.00162
AZIN1	0.14	0.199	0.70352	0.07032	0.04947	0.00496
CLIP3	0.184	0.273	0.67399	0.07309	0.04926	0
MED4	0.223	0.302	0.73841	0.0664	0.04903	0.01531
ACTR10	0.248	0.35	0.70857	0.06912	0.04898	4e-5
NOP10	0.244	0.331	0.73716	0.06606	0.0487	0.03208
UQCR11	0.38	0.517	0.73501	0.06616	0.04863	5.3e-4
SOX9	0.141	0.195	0.72308	0.06684	0.04833	0.03421
PTRHD1	0.17	0.232	0.73276	0.06546	0.04797	0.03453
MAPRE1	0.241	0.348	0.69253	0.06817	0.04721	0
ZBED5	0.178	0.243	0.73251	0.06416	0.047	0.03786
KATNBL1	0.216	0.298	0.72483	0.06462	0.04684	8.5e-4
CCT8	0.496	0.659	0.75266	0.0622	0.04681	9.6e-4
PSMA2	0.126	0.183	0.68852	0.06688	0.04605	0.00163
CAPZA2	0.326	0.437	0.746	0.06116	0.04562	0.00375
IWS1	0.143	0.203	0.70443	0.06431	0.0453	0.00205
C12orf10	0.194	0.263	0.73764	0.06119	0.04513	0.04651
GPX1	0.345	0.46	0.75	0.0601	0.04507	0.00201
NDUFS3	0.224	0.307	0.72964	0.06151	0.04488	0.00484
DDX6	0.393	0.524	0.75	0.05972	0.04479	0.03341
NCOR1	0.364	0.507	0.71795	0.06154	0.04419	0
CADM1	0.249	0.337	0.73887	0.05981	0.04419	0.00212
GPX4	0.453	0.612	0.7402	0.05946	0.04401	0.00102
TMEM98	0.214	0.295	0.72542	0.06051	0.0439	0.00247
BCL11B	0.219	0.311	0.70418	0.06198	0.04364	4e-5
ZC2HC1A	0.481	0.652	0.73773	0.059	0.04353	2e-5
IMMT	0.177	0.243	0.7284	0.05968	0.04347	0.01875
NCAN	0.164	0.251	0.65339	0.06633	0.04334	0
PPP1R7	0.18	0.247	0.72874	0.05945	0.04332	0.01608
TIMM9	0.148	0.208	0.71154	0.06077	0.04324	0.00667
ACAA2	0.095	0.141	0.67376	0.06406	0.04316	0.00847
TMEM97	0.107	0.153	0.69935	0.06168	0.04314	0.04764
CANX	0.205	0.279	0.73477	0.05852	0.043	0.00308
ACP1	0.256	0.339	0.75516	0.05619	0.04243	0.03845
SELK	0.305	0.409	0.74572	0.05688	0.04241	0.00378
LSM2	0.229	0.326	0.70245	0.06004	0.04217	1e-5
ZNF146	0.149	0.209	0.71292	0.05908	0.04212	0.00955
CWC27	0.197	0.267	0.73783	0.05681	0.04191	0.02911
PCIF1	0.11	0.161	0.68323	0.06131	0.04189	0.00868
ARF5	0.227	0.316	0.71835	0.05803	0.04169	4.4e-4
FAM3C	0.095	0.138	0.68841	0.06043	0.0416	0.02751
SSBP1	0.331	0.456	0.72588	0.05708	0.04143	3e-5
SAP30BP	0.173	0.255	0.67843	0.061	0.04138	1e-5
VBP1	0.296	0.399	0.74185	0.05548	0.04116	0.00522
GPM6B	0.303	0.407	0.74447	0.05512	0.04104	0.00332
HS3ST1	0.264	0.377	0.70027	0.05768	0.04039	0
NOC2L	0.166	0.234	0.7094	0.05694	0.04039	0.00107
MRPL3	0.185	0.274	0.67518	0.05933	0.04006	0
ATP6V1D	0.233	0.318	0.7327	0.05462	0.04002	7.8e-4
EIF4EBP1	0.192	0.261	0.73563	0.05418	0.03986	0.00911
TALDO1	0.317	0.416	0.76202	0.05231	0.03986	0.01645
NDUFS2	0.327	0.455	0.71868	0.05543	0.03983	0
ANKRD36	0.176	0.244	0.72131	0.05517	0.03979	0.00446
GFOD2	0.141	0.207	0.68116	0.05825	0.03968	3.1e-4
ZC3H13	0.382	0.532	0.71805	0.05516	0.0396	1e-5
CGGBP1	0.171	0.238	0.71849	0.05505	0.03956	0.0018
LARP7	0.23	0.311	0.73955	0.05343	0.03951	0.00205
PSMD2	0.255	0.34	0.75	0.05252	0.03939	0.01703
DYNC1H1	0.389	0.521	0.74664	0.05245	0.03916	0.00412
EPS15L1	0.099	0.147	0.67347	0.05801	0.03907	0.00188
USP16	0.204	0.283	0.72085	0.05368	0.0387	8.9e-4
NDUFA8	0.215	0.295	0.72881	0.05294	0.03859	0.00261
MFF	0.283	0.376	0.75266	0.05117	0.03852	0.01205
NDUFA5	0.385	0.512	0.75195	0.05105	0.03839	0.02677
GABPB1	0.185	0.267	0.69288	0.05539	0.03838	2e-5
GTF2A2	0.342	0.464	0.73707	0.05204	0.03836	4.8e-4
PCBP2	0.408	0.542	0.75277	0.05089	0.03831	0.01359
IVNS1ABP	0.205	0.277	0.74007	0.05175	0.0383	0.01116
AC004158.3	0.186	0.28	0.66429	0.05764	0.03829	0
PSMB2	0.262	0.356	0.73596	0.05194	0.03822	0.00169
CCDC90B	0.256	0.359	0.71309	0.05334	0.03803	2e-5
AK3	0.114	0.16	0.7125	0.05275	0.03759	0.03494
APPBP2	0.122	0.185	0.65946	0.05668	0.03738	3e-5
CELF1	0.234	0.329	0.71125	0.05254	0.03737	3e-5
RAD50	0.243	0.331	0.73414	0.05085	0.03733	0.00272
PSMD11	0.223	0.32	0.69688	0.05352	0.0373	1e-5
CWC15	0.308	0.43	0.71628	0.05194	0.0372	5e-5
PSMD8	0.363	0.509	0.71316	0.05186	0.03699	0
CTNND1	0.165	0.227	0.72687	0.05089	0.03699	0.01224
EXOSC8	0.185	0.277	0.66787	0.05501	0.03674	0
LAMTOR4	0.209	0.283	0.73852	0.04962	0.03664	0.0078
PPP2CA	0.227	0.31	0.73226	0.04996	0.03658	0.00457
SNRPG	0.368	0.497	0.74044	0.04936	0.03655	9e-5
FAM103A1	0.169	0.242	0.69835	0.05182	0.03619	3e-4
ARL3	0.272	0.397	0.68514	0.05272	0.03612	0
GUK1	0.32	0.443	0.72235	0.04993	0.03607	1e-5
UCHL1	0.514	0.673	0.76374	0.04705	0.03594	0.00584
PFKM	0.138	0.199	0.69347	0.05176	0.03589	8.7e-4
GPATCH8	0.244	0.36	0.67778	0.05292	0.03587	0
GNL3	0.21	0.299	0.70234	0.05091	0.03576	3e-5
IFT52	0.12	0.174	0.68966	0.05182	0.03574	0.00511
SAP18	0.507	0.677	0.74889	0.04765	0.03568	7.8e-4
KPNB1	0.248	0.364	0.68132	0.05233	0.03565	0
CLK1	0.372	0.494	0.75304	0.04709	0.03546	0.00442
HERC1	0.219	0.31	0.70645	0.04958	0.03502	6e-5
ARPC1A	0.315	0.427	0.7377	0.04729	0.03488	0.00139
CSE1L	0.097	0.14	0.69286	0.05025	0.03481	0.02316
STXBP1	0.239	0.328	0.72866	0.04774	0.03478	9e-4
PIN4	0.171	0.244	0.70082	0.04956	0.03473	1.4e-4
C11orf31	0.391	0.526	0.74335	0.0465	0.03457	0.00259
ATPIF1	0.208	0.304	0.68421	0.05038	0.03447	0
FAM49B	0.214	0.306	0.69935	0.04918	0.03439	2e-5
ELAVL2	0.437	0.577	0.75737	0.04522	0.03425	0.00279
PLEKHJ1	0.178	0.258	0.68992	0.04943	0.0341	2e-5
TIPRL	0.224	0.317	0.70662	0.0482	0.03406	1e-5
MRPL55	0.196	0.274	0.71533	0.04753	0.034	9.1e-4
NOL8	0.118	0.168	0.70238	0.04823	0.03387	0.02156
ILF3-AS1	0.144	0.211	0.68246	0.04936	0.03369	1.3e-4
APRT	0.131	0.194	0.67526	0.04989	0.03369	1.7e-4
PRR14L	0.141	0.194	0.7268	0.04621	0.03359	0.04027
JKAMP	0.12	0.177	0.67797	0.04952	0.03358	5.6e-4
SLC25A11	0.138	0.2	0.69	0.04852	0.03348	6.2e-4
RNF11	0.135	0.195	0.69231	0.04834	0.03346	8.3e-4
GLTSCR2	0.332	0.503	0.66004	0.05064	0.03342	0
ARHGEF2	0.189	0.267	0.70787	0.04697	0.03325	1.6e-4
TMEM50A	0.218	0.292	0.74658	0.0445	0.03322	0.00951
APLP1	0.248	0.357	0.69468	0.04775	0.03317	0
EBNA1BP2	0.146	0.215	0.67907	0.04854	0.03296	8e-5
FAM13A	0.241	0.329	0.73252	0.04497	0.03294	3.5e-4
SUPT5H	0.123	0.181	0.67956	0.04831	0.03283	7.4e-4
NSD1	0.275	0.381	0.72178	0.04526	0.03267	4e-5
CNKSR2	0.143	0.211	0.67773	0.04812	0.03261	7e-5
METTL2B	0.095	0.141	0.67376	0.04824	0.03251	0.00398
TCERG1	0.187	0.257	0.72763	0.04462	0.03247	0.00564
C1orf43	0.24	0.321	0.74766	0.04331	0.03238	0.01575
ASGR1	0.122	0.181	0.67403	0.048	0.03235	3.7e-4
PSME1	0.159	0.22	0.72273	0.04461	0.03224	0.01044
RAB18	0.197	0.288	0.68403	0.04709	0.03221	0
ZNF738	0.118	0.173	0.68208	0.047	0.03206	0.00167
KMT2C	0.241	0.338	0.71302	0.04467	0.03185	9e-5
MRPL15	0.167	0.231	0.72294	0.04396	0.03178	0.00537
PITPNB	0.16	0.244	0.65574	0.04844	0.03176	0
MPPED2	0.223	0.304	0.73355	0.04328	0.03175	0.00246
ATP6AP2	0.194	0.271	0.71587	0.04342	0.03108	7.3e-4
CREBBP	0.19	0.285	0.66667	0.0465	0.031	0
DGUOK	0.301	0.41	0.73415	0.04191	0.03077	1.5e-4
LRRC49	0.125	0.182	0.68681	0.04475	0.03073	0.00128
GLUL	0.202	0.279	0.72401	0.04224	0.03058	0.00142
UQCRQ	0.431	0.575	0.74957	0.04075	0.03054	0.00269
MAD2L2	0.189	0.269	0.7026	0.04344	0.03052	3e-5
SNRPB	0.228	0.314	0.72611	0.04194	0.03045	7.5e-4
TCEB3	0.126	0.184	0.68478000000000006	0.04431	0.03034	6.2e-4
TPRKB	0.244	0.35	0.69714	0.04346	0.0303	0
ELP2	0.216	0.306	0.70588	0.04279	0.0302	3e-5
NDUFA12	0.283	0.401	0.70574	0.04278	0.03019	0
KIF1A	0.31	0.417	0.74341	0.04061	0.03019	3.1e-4
RTCB	0.163	0.234	0.69658	0.04318	0.03008	2.8e-4
PSMB1	0.445	0.589	0.75552	0.03966	0.02997	0.0045
TP53BP1	0.191	0.29	0.65862	0.045469999999999997	0.02995	0
C12orf76	0.111	0.162	0.68519	0.04363	0.02989	0.00547
SMIM18	0.097	0.143	0.67832	0.044	0.02985	0.01086
SMARCE1	0.376	0.509	0.7387	0.04033	0.02979	6.9e-4
ERGIC2	0.151	0.209	0.72249	0.04119	0.029760000000000002	0.01919
MAPK8	0.259	0.354	0.73164	0.04052	0.02965	3.6e-4
PDIA6	0.208	0.297	0.70034	0.04211	0.02949	0
COA1	0.124	0.178	0.69663	0.04205	0.02929	0.00298
CELF3	0.144	0.208	0.69231	0.04226	0.02926	1e-4
GLOD4	0.175	0.27	0.64815	0.04498	0.02915	0
CHMP2B	0.09	0.131	0.68702	0.04225	0.02903	0.04548
GIGYF2	0.156	0.221	0.70588	0.04103	0.02896	9.7e-4
STAU2	0.162	0.223	0.72646	0.03985	0.02895	0.00963
LAMTOR2	0.157	0.216	0.72685	0.0394	0.02864	0.01194
POP7	0.173	0.256	0.67578	0.04234	0.02861	0
ECHDC1	0.115	0.175	0.65714	0.04342	0.02854	2e-5
CHD8	0.149	0.218	0.68349	0.04169	0.0285	7e-5
BEX4	0.482	0.64	0.75312	0.03782	0.02849	0.00416
TPM3	0.276	0.376	0.73404	0.03878	0.02847	0.00109
STAMBP	0.099	0.145	0.68276	0.04139	0.02826	0.00926
HSPA5	0.282	0.385	0.73247	0.03857	0.02825	5.2e-4
MIEF1	0.07	0.111	0.63063	0.04467	0.02817	0.00272
SLC25A5	0.333	0.452	0.73673	0.03817	0.02812	1.5e-4
NSL1	0.157	0.218	0.72018	0.03892	0.02803	0.00931
SCAPER	0.228	0.325	0.70154	0.03978	0.02791	1e-5
EPRS	0.23	0.328	0.70122	0.03978	0.02789	0
DNAAF2	0.139	0.199	0.69849000000000006	0.03985	0.02784	0.00228
GDE1	0.075	0.116	0.64655	0.04294	0.02776	0.00656
PIK3C3	0.101	0.146	0.69178	0.04002	0.02768	0.02292
RAD23A	0.19	0.274	0.69343	0.03984	0.02762	1e-5
PDK2	0.09	0.135	0.66667	0.04132	0.02754	0.00384
EIF4G3	0.101	0.149	0.67785	0.04041	0.02739	0.00246
SYT11	0.335	0.464	0.72198	0.03745	0.02704	0
NUDCD2	0.144	0.2	0.72	0.03731	0.02686	0.01936
C1orf123	0.129	0.192	0.67188	0.03987	0.02679	6e-5
RHOT2	0.078	0.117	0.66667	0.04005	0.0267	0.03744
TNPO2	0.072	0.114	0.63158	0.04208	0.02658	0.00159
FAM104A	0.11	0.159	0.69182	0.03818	0.02641	0.00514
ZNF512	0.107	0.153	0.69935	0.03773	0.02639	0.03104
LENG1	0.084	0.126	0.66667	0.03952	0.02635	0.00663
LY6E	0.097	0.141	0.68794	0.03825	0.02632	0.02877
ARL14EP	0.142	0.203	0.69951	0.03761	0.02631	0.00125
C22orf39	0.072	0.11	0.65455	0.04011	0.02625	0.01462
YBX1	0.674	0.888	0.75901	0.03451	0.02619	0
SLA	0.542	0.722	0.75069	0.03489	0.02619	9e-5
ARHGEF7	0.133	0.21	0.63333	0.04115	0.02606	0
TCEAL5	0.17	0.234	0.7265	0.03576	0.02598	0.00365
CCDC186	0.157	0.238	0.65966	0.03927	0.0259	0
PUF60	0.302	0.44	0.68636	0.03769	0.02587	0
ALG5	0.108	0.156	0.69231	0.03725	0.02579	0.01424
TMUB2	0.108	0.155	0.69677	0.03702	0.02579	0.02233
APAF1	0.079	0.121	0.65289	0.0392	0.02559	0.00475
UFD1L	0.099	0.148	0.66892	0.03823	0.02557	0.0018600000000000001
CALCOCO1	0.179	0.25	0.716	0.03569	0.02555	8.3e-4
C19orf70	0.143	0.211	0.67773	0.03753	0.02543	2e-5
PSMA5	0.121	0.174	0.6954	0.03634	0.02527	0.00369
GSTO1	0.129	0.186	0.69355	0.03632	0.02519	0.00176
NAE1	0.248	0.358	0.69274	0.03636	0.02518	0
ZNF830	0.127	0.189	0.67196	0.03743	0.02515	1.3e-4
SSTR2	0.588	0.736	0.79891	0.03144	0.02512	0.011
COMMD9	0.142	0.197	0.72081	0.03476	0.02505	0.01458
CEP162	0.094	0.141	0.66667	0.03755	0.02503	0.00453
ZNF883	0.119	0.169	0.70414	0.03555	0.02503	0.01431
KLHL9	0.118	0.171	0.69006	0.03624	0.02501	0.0031
USP11	0.272	0.377	0.72149	0.03444	0.02485	3e-5
SFXN1	0.153	0.213	0.71831	0.03441	0.02472	0.00473
PPIH	0.092	0.136	0.67647	0.03646	0.02466	0.01318
STARD3NL	0.144	0.213	0.67606	0.03603	0.02436	2e-5
ING3	0.137	0.205	0.66829	0.03612	0.024140000000000002	2e-5
DNAJB9	0.162	0.228	0.71053	0.03384	0.02404	0.00142
XAB2	0.068	0.11	0.61818	0.0383	0.02367	8.6e-4
TRMT112	0.291	0.421	0.69121	0.03415	0.0236	0
DLGAP1	0.14	0.213	0.65728	0.03559	0.02339	0
TIMM13	0.29	0.435	0.66667	0.03498	0.02332	0
COPS3	0.182	0.262	0.69466	0.03356	0.02331	2e-5
TCEB2	0.544	0.72	0.75556	0.03077	0.02325	1.5e-4
TMEM167A	0.163	0.223	0.73094	0.0317	0.02317	0.04243
HNRNPM	0.464	0.63	0.73651	0.03121	0.02299	0
SUPT20H	0.123	0.182	0.67582	0.03399	0.02297	5e-4
PSEN1	0.098	0.144	0.68056	0.03357	0.02285	0.00663
RIF1	0.204	0.287	0.7108	0.03208	0.0228	9e-5
TMEM205	0.077	0.119	0.64706	0.03515	0.02274	0.00914
ZNF148	0.257	0.36	0.71389	0.03183	0.02272	1e-5
BSDC1	0.176	0.253	0.69565	0.03252	0.02262	2e-5
CSNK1D	0.084	0.127	0.66142	0.03409	0.02255	0.00397
MPST	0.109	0.172	0.63372	0.03554	0.02252	0
CAND1	0.249	0.359	0.69359	0.03236	0.02244	0
