gene	pct.1	pct.2	enrich.ratio	avg_diff	gene.score	p_val_adj
UBE2D2	0.331	0.525	0.63048	-9.8474	-6.20855	3.051244886731228e-26
DTD1	0.36	0.518	0.69498	-8.96857	-6.23298	7.003541215928494e-12
CCT6A	0.366	0.509	0.71906	-8.68296	-6.24355	3.293196392608807e-7
EIF3A	0.361	0.504	0.71627	-8.72548	-6.2498	8.964565635147728e-9
EPB41L4A-AS1	0.321	0.503	0.63817	-9.79649	-6.25184	1.8814139622250694e-25
FOS	0.737	0.595	1.23866	-5.06052	-6.26825	1.4413705165116043e-72
SF1	0.358	0.51	0.70196	-8.9529	-6.28458	3.9665462127756626e-10
TCEA1	0.34	0.535	0.63551	-9.93714	-6.31519	1.427697619454014e-24
COX8A	0.298	0.538	0.5539	-11.40276	-6.31603	8.998542162434799e-51
CCT3	0.392	0.528	0.74242	-8.53372	-6.33564	2.0401296716513403e-5
BRD3	0.343	0.51	0.67255	-9.42914	-6.34156	2.5449679123814116e-14
DYNC1LI2	0.321	0.504	0.6369	-9.96211	-6.34492	4.297891444132509e-23
INSM1	0.198	0.511	0.38748	-16.42206	-6.36315	4.7538225158626274e-129
EVL	0.245	0.52	0.47115	-13.52694	-6.37327	1.0335912298984413e-86
IGFBP2	0.181	0.535	0.33832	-18.95148	-6.41162	1.5189317711548008e-166
DYNC1H1	0.389	0.521	0.74664	-8.60722	-6.4265	0.004115236712467457
KDM1A	0.23	0.525	0.4381	-14.68007	-6.43127	1.592322959470317e-106
BOD1L1	0.201	0.569	0.35325	-18.20759	-6.43185	4.1292317312955757e-171
UBE3A	0.294	0.517	0.56867	-11.32432	-6.43975	2.115969184152041e-43
ARPC3	0.395	0.551	0.71688	-9.00455	-6.45517	9.424455804094958e-8
CDH2	0.24	0.508	0.47244	-13.69446	-6.46982	2.3979761218282522e-83
ZC3H13	0.382	0.532	0.71805	-9.11097	-6.54209	1.228206713516492e-5
HNRNPF	0.303	0.509	0.59528	-10.99306	-6.544	9.34017046528602e-36
MYEOV2	0.307	0.514	0.59728	-10.96836	-6.55114	2.462911893192599e-37
UXT	0.369	0.533	0.69231	-9.47929	-6.56258	1.4999759103475037e-12
PPP1R14B	0.118	0.67	0.17612	-37.39658	-6.58626	0
SFRP1	0.201	0.57	0.35263	-18.69186	-6.59134	7.853403239002049e-169
SEZ6	0.278	0.524	0.53053	-12.44436	-6.60216	2.6508163654480315e-60
TRA2A	0.328	0.512	0.64062	-10.31474	-6.60788	7.821100294795012e-25
TOP2B	0.391	0.531	0.73635	-9.04208	-6.6581	3.1830608074057316e-6
DAAM1	0.401	0.568	0.70599	-9.47238	-6.68737	6.648454986143571e-10
TMPO	0.26	0.501	0.51896	-12.90001	-6.69462	3.2923395762165364e-64
ZKSCAN1	0.412	0.544	0.75735	-8.8562	-6.70727	0.008302765189647898
KLHL23	0.221	0.557	0.39677	-16.91238	-6.7103	1.744480322228565e-139
PRMT2	0.375	0.539	0.69573	-9.65707	-6.71874	1.3640681838685746e-11
CSNK1A1	0.371	0.542	0.6845	-9.89255	-6.77147	1.0727877381529381e-14
ZNF22	0.336	0.542	0.61993	-10.97787	-6.80547	1.8119714868611498e-29
ELAVL2	0.437	0.577	0.75737	-9.02698	-6.83672	0.002793274351969412
RNMT	0.375	0.557	0.67325	-10.1763	-6.85119	4.494675879095585e-15
PCBP1	0.334	0.529	0.63138	-10.97182	-6.92739	4.421084951058369e-29
CFDP1	0.345	0.523	0.65966	-10.57285	-6.97444	7.999322124808795e-19
DDX46	0.353	0.546	0.64652	-10.7944	-6.9788	2.7521603677041926e-24
CSRP2	0.65	0.66	0.98485	-7.09874	-6.99118	1.1813659505219585e-15
ATP5J2	0.39	0.569	0.68541	-10.25867	-7.03143	2.654778753144256e-16
PSMB1	0.445	0.589	0.75552	-9.31419	-7.03704	0.004504285284465254
XRN2	0.341	0.545	0.62569	-11.26806	-7.05029	1.2824763051687479e-26
PAFAH1B1	0.368	0.568	0.64789	-10.88938	-7.05509	7.695437697811969e-23
RBM8A	0.381	0.558	0.6828	-10.35009	-7.067	9.156519237517052e-16
RAB2A	0.334	0.535	0.6243	-11.3552	-7.08904	2.514594078522622e-31
SMDT1	0.305	0.55	0.55455	-12.79563	-7.09576	2.0849720140895536e-56
ZNF91	0.336	0.516	0.65116	-10.91246	-7.10579	3.412799014107364e-21
TOP1	0.279	0.538	0.51859	-13.74015	-7.12547	6.26463301405692e-69
GPX4	0.453	0.612	0.7402	-9.68991	-7.17244	0.0010233086050578878
UQCRQ	0.431	0.575	0.74957	-9.5732	-7.17574	0.0026931931835665625
ATXN7L3B	0.33	0.539	0.61224	-11.74702	-7.19205	2.393370419891221e-33
EIF3H	0.686	0.716	0.9581	-7.50666	-7.19214	5.100878065224384e-17
MLLT4	0.228	0.565	0.40354	-17.85254	-7.20421	5.051135154690521e-141
PRPF4B	0.253	0.541	0.46765	-15.48137	-7.2399	1.6426437938589419e-90
SEPW1	0.374	0.574	0.65157	-11.13962	-7.25822	4.222457884195282e-21
TSPAN5	0.273	0.545	0.50092	-14.49835	-7.26248	3.219478955556746e-80
FYN	0.245	0.571	0.42907	-16.96292	-7.27831	3.131362222332768e-123
ATP5G3	0.399	0.541	0.73752	-9.87099	-7.28008	1.8596756042209222e-7
CLMP	0.398	0.537	0.74115	-9.85313	-7.30269	1.8000263237513134e-5
NDUFB10	0.389	0.58	0.67069	-10.98881	-7.37008	3.02530271976214e-18
SAT2	0.35	0.558	0.62724	-11.76579	-7.37997	9.708048635341033e-30
DHX36	0.314	0.543	0.57827	-12.79388	-7.3983	4.086743655593507e-46
SMARCB1	0.369	0.568	0.64965	-11.45539	-7.44197	1.0352286647887675e-23
OST4	0.364	0.55	0.66182	-11.27764	-7.46375	1.6079569553146392e-23
CELF2	0.425	0.568	0.74824	-10.01537	-7.4939	8.401306877621326e-5
ZNF462	0.308	0.525	0.58667	-12.79795	-7.50813	1.493906945618982e-38
PRRC2B	0.334	0.534	0.62547	-12.03211	-7.5257	8.181968122362046e-29
PCSK1N	0.215	0.59	0.36441	-20.84972	-7.59778	4.61082467169881e-173
YWHAH	0.247	0.56	0.44107	-17.25339	-7.60998	6.231207892698185e-116
KDM5B	0.408	0.564	0.7234	-10.51968	-7.60998	7.942334904012916e-9
NEDD4L	0.363	0.562	0.64591	-11.83465	-7.64409	1.3732152491569227e-22
NSA2	0.257	0.531	0.48399	-15.80547	-7.64973	1.0753680903512008e-87
YTHDC1	0.3	0.578	0.51903	-14.8141	-7.68898	2.3933979043098362e-76
TXNL1	0.401	0.594	0.67508	-11.57309	-7.81281	3.4173082517575788e-18
PPIG	0.382	0.561	0.68093	-11.51734	-7.84247	6.206462276972877e-17
FAM133B	0.285	0.532	0.53571	-14.65055	-7.84851	3.8103089882739763e-63
BEX2	0.324	0.552	0.58696	-13.38994	-7.85931	9.839596209194255e-44
SEC61B	0.422	0.628	0.67197	-11.71511	-7.87226	1.2559172608219213e-19
SCG3	0.371	0.564	0.6578	-12.00438	-7.8965	1.9320954204862607e-22
METAP2	0.317	0.568	0.5581	-14.17726	-7.91231	2.748001587076596e-58
EMX2	0.309	0.509	0.60707	-13.04662	-7.92025	2.4414400382634877e-38
TMEM258	0.401	0.571	0.70228	-11.29037	-7.92896	1.4324819052912581e-12
SHTN1	0.307	0.521	0.58925	-13.51878	-7.96596	5.430715770092766e-39
FEZ1	0.411	0.583	0.70497	-11.30151	-7.96727	3.7031573311114854e-13
FOXN3	0.258	0.566	0.45583	-17.485	-7.97019	8.108550056614901e-105
ENAH	0.333	0.542	0.61439	-13.01526	-7.99646	9.525505060665339e-39
RPL7L1	0.396	0.578	0.68512	-11.74437	-8.04632	8.371093289343114e-15
CLTA	0.387	0.598	0.64716	-12.46955	-8.06976	4.6121197688370515e-26
UBE2E3	0.45	0.585	0.76923	-10.52495	-8.09612	0.004315746957943847
EPHB6	0.367	0.526	0.69772	-11.64453	-8.1246	3.8754762480459256e-15
CDK5R1	0.303	0.568	0.53345	-15.23064	-8.12479	9.245697192750542e-66
NKTR	0.433	0.581	0.74527	-10.90531	-8.12737	5.862783113982871e-5
RPL36A	0.397	0.569	0.69772	-11.66322	-8.13761	1.2389758222129525e-15
KIF1B	0.325	0.553	0.5877	-13.84693	-8.13789	9.271511409935379e-48
RSBN1L	0.338	0.573	0.58988	-13.86768	-8.18024	2.4784070769347427e-46
RPS10	0.69	0.71	0.97183	-8.42773	-8.19033	1.4424303210808456e-17
EFNB2	0.223	0.604	0.36921	-22.18729	-8.19166	2.8273163931887205e-179
NDUFB2	0.438	0.608	0.72039	-11.41226	-8.22133	1.026025779521713e-10
UQCR10	0.396	0.613	0.646	-12.74138	-8.23097	4.916521860384188e-28
CALD1	0.393	0.556	0.70683	-11.65301	-8.23675	2.6175726884378148e-14
MZT2B	0.305	0.603	0.5058	-16.31022	-8.24978	1.8841874646437117e-88
C4orf48	0.208	0.618	0.33657	-24.54035	-8.25954	1.39700209375514e-218
TCEAL4	0.442	0.607	0.72817	-11.36141	-8.27306	1.6838084182919074e-7
SRGAP3	0.452	0.609	0.7422	-11.14785	-8.27394	8.681444708599476e-6
CCDC112	0.273	0.577	0.47314	-17.61	-8.33194	1.436055857666547e-103
MPHOSPH8	0.343	0.573	0.5986	-13.94977	-8.35038	1.2359581656901353e-42
TOMM20	0.338	0.59	0.57288	-14.65964	-8.39823	2.4889660404462058e-52
CCT8	0.496	0.659	0.75266	-11.17187	-8.40857	9.630706461159756e-4
MIDN	0.342	0.577	0.59272	-14.22457	-8.4312	1.4470716313174792e-42
SMS	0.405	0.571	0.70928	-11.89221	-8.43493	2.487749091740278e-10
COX5B	0.472	0.629	0.7504	-11.27919	-8.46388	1.3950437130370703e-4
PRRC2C	0.363	0.58	0.62586	-13.52479	-8.46465	7.67640250080427e-36
CSDE1	0.389	0.588	0.66156	-12.80988	-8.47456	7.350757053589853e-25
UPF3A	0.365	0.594	0.61448	-13.80716	-8.4842	1.1685688328138364e-38
FXR1	0.282	0.572	0.49301	-17.29219	-8.52517	6.8987059888324205e-93
AUTS2	0.303	0.583	0.51973	-16.58628	-8.62031	1.3105779836278135e-78
SAP18	0.507	0.677	0.74889	-11.53753	-8.64037	7.84015213293919e-4
TCF25	0.368	0.596	0.61745	-14.00663	-8.64839	1.1879891289342623e-37
LSM7	0.439	0.63	0.69683	-12.42529	-8.65826	2.8313312566493343e-14
HNRNPM	0.464	0.63	0.73651	-11.7667	-8.66627	1.826728377814852e-6
FUS	0.679	0.737	0.9213	-9.4461	-8.70272	2.180666909753738e-8
KIF21A	0.343	0.607	0.56507	-15.44198	-8.72586	9.203567120074563e-56
CASC15	0.426	0.593	0.71838	-12.16039	-8.7358	1.6142185610042092e-10
SRRM4	0.322	0.561	0.57398	-15.2201	-8.73596	9.101582912572767e-48
NUCKS1	0.442	0.606	0.72937	-12.0168	-8.76473	3.4943805539335894e-9
HSPD1	0.444	0.593	0.74874	-11.72748	-8.78078	2.3695599719397572e-5
ANKRD11	0.33	0.594	0.55556	-15.86591	-8.8144	3.323359595697333e-62
SPIRE1	0.232	0.625	0.3712	-23.79383	-8.83227	4.1021754897057645e-191
CTTNBP2	0.298	0.571	0.52189	-16.94371	-8.84278	5.784918697890607e-77
MYL6B	0.409	0.622	0.65756	-13.45869	-8.84984	3.277666647361137e-25
NDUFC2	0.321	0.608	0.52796	-16.76779	-8.85273	5.5246042826165654e-83
ATP5O	0.46	0.671	0.68554	-12.99096	-8.90587	5.3673193209611085e-18
JMJD1C	0.402	0.604	0.66556	-13.41386	-8.92777	6.035363500182504e-22
PLXNA2	0.362	0.583	0.62093	-14.42931	-8.95954	5.735979471640149e-35
MTDH	0.303	0.62	0.48871	-18.42768	-9.00579	4.659128534834964e-106
U2SURP	0.391	0.604	0.64735	-13.95088	-9.03111	6.210711828108894e-31
UBE2I	0.469	0.664	0.70633	-12.80387	-9.0437	2.716509815853858e-11
EIF1AX	0.43	0.593	0.72513	-12.47729	-9.04761	2.972686591733006e-9
DOK6	0.264	0.622	0.42444	-21.48731	-9.12002	9.488752531288036e-152
EIF3K	0.465	0.656	0.70884	-12.96178	-9.18785	1.9223579118955264e-12
ZCCHC11	0.361	0.599	0.60267	-15.25175	-9.19179	3.368242588921874e-45
PTPRD	0.327	0.577	0.56672	-16.29578	-9.23521	9.342990936348369e-60
USMG5	0.355	0.603	0.58872	-15.73535	-9.26376	1.9417414980352322e-51
NASP	0.392	0.605	0.64793	-14.37413	-9.31348	1.0528776836324364e-32
MACF1	0.392	0.597	0.65662	-14.18706	-9.31546	1.0870087590702934e-27
HNRNPD	0.287	0.615	0.46667	-19.967	-9.31793	1.0375795934671241e-119
POLR2J3	0.366	0.591	0.61929	-15.04704	-9.31847	8.930633912478227e-40
HNRNPH1	0.338	0.624	0.54167	-17.20587	-9.31985	2.7711844219630602e-74
HNRNPA0	0.765	0.829	0.9228	-10.10356	-9.32355	4.3304120107468265e-17
SNRPF	0.41	0.62	0.66129	-14.10069	-9.32465	1.6420299363638547e-24
RCN2	0.338	0.657	0.51446	-18.18884	-9.35743	2.509852857615257e-91
TUBA1B	0.772	0.784	0.98469	-9.51332	-9.36771	1.5595086184888815e-35
PALMD	0.344	0.515	0.66796	-14.05207	-9.38624	2.232024455276373e-20
LRP8	0.331	0.588	0.56293	-16.68485	-9.39232	3.1205694970819546e-67
BEX4	0.482	0.64	0.75312	-12.54426	-9.44739	0.004159444341543319
ZC2HC1A	0.481	0.652	0.73773	-12.88207	-9.50349	1.9663444708199594e-5
RBM25	0.429	0.622	0.68971	-13.82186	-9.53308	1.3984133733166222e-17
SYF2	0.448	0.63	0.71111	-13.41463	-9.53929	1.0490225505353334e-13
HMGN3	0.475	0.636	0.74686	-12.7866	-9.54974	5.1029647648223925e-6
ZC3H15	0.381	0.597	0.63819	-15.0238	-9.58805	9.448635749708897e-33
SCG5	0.345	0.626	0.55112	-17.51624	-9.65352	1.2190216067666663e-69
VPS28	0.46	0.644	0.71429	-13.52646	-9.66176	2.1748541630129537e-13
DEK	0.313	0.617	0.50729	-19.18091	-9.73035	2.776971522905908e-98
DBN1	0.465	0.648	0.71759	-13.59199	-9.75351	1.1322967923629707e-12
SPTAN1	0.364	0.609	0.5977	-16.35458	-9.77515	9.897767238266617e-49
RPLP0	0.946	0.943	1.00318	-9.76518	-9.79625	4.183631680386728e-123
CNR1	0.343	0.585	0.58632	-16.80421	-9.85273	9.255122124468067e-56
KIF5B	0.419	0.641	0.65367	-15.21632	-9.94639	1.0422072665307902e-31
PHIP	0.454	0.609	0.74548	-13.43153	-10.013	1.0226614595505384e-7
RPL36AL	0.508	0.695	0.73094	-13.71913	-10.0278	2.647771305710509e-9
SETBP1	0.412	0.612	0.6732	-14.91546	-10.04112	5.819302646960367e-21
ITM2B	0.368	0.647	0.56878	-17.69065	-10.06207	2.8609084578429712e-64
C11orf58	0.534	0.697	0.76614	-13.15658	-10.07979	0.006630370823283051
RAC1	0.351	0.673	0.52155	-19.34382	-10.08868	3.995180282874756e-99
ATP5I	0.353	0.624	0.56571	-17.97434	-10.16817	2.749099361694898e-68
SLC25A3	0.475	0.665	0.71429	-14.52032	-10.37165	1.2271362112439059e-11
PSIP1	0.349	0.649	0.53775	-19.4331	-10.45016	1.0863653534770679e-90
LHX2	0.301	0.657	0.45814	-22.84478	-10.46618	2.860756077198978e-143
MORF4L1	0.71	0.79	0.89873	-11.67362	-10.49149	1.0176666015460047e-6
FRMD4B	0.37	0.607	0.60956	-17.3415	-10.5706	6.822856110190064e-46
BICD1	0.44	0.639	0.68858	-15.44888	-10.63773	1.7545801193200823e-21
DSTN	0.419	0.631	0.66403	-16.12169	-10.70521	2.1252953758816517e-28
PAK2	0.39	0.651	0.59908	-17.91042	-10.72975	2.9931118333018844e-56
UCHL1	0.514	0.673	0.76374	-14.08456	-10.757	0.005837544102780101
PSMA7	0.498	0.683	0.72914	-14.77774	-10.77499	3.149556839055816e-9
NAP1L1	0.767	0.795	0.96478	-11.20856	-10.81379	1.9204971651238324e-22
NSG1	0.439	0.618	0.71036	-15.22707	-10.81664	1.5603524336168585e-12
UBL5	0.472	0.687	0.68705	-15.77205	-10.83611	1.952354221730347e-22
EPC1	0.491	0.677	0.72526	-15.06801	-10.9282	1.7694559594111396e-11
SRSF10	0.382	0.656	0.58232	-18.77306	-10.93187	4.400093547133939e-67
NDUFB4	0.449	0.666	0.67417	-16.2666	-10.96652	9.224747450497694e-32
HNRNPH3	0.474	0.675	0.70222	-15.72032	-11.03916	8.11023649275204e-19
TCEB2	0.544	0.72	0.75556	-14.7679	-11.15797	1.5042615639093557e-4
NNAT	0.89	0.9	0.98889	-11.28382	-11.15845	5.779206146361715e-63
CHD3	0.317	0.64	0.49531	-22.57262	-11.1805	2.0211161831852855e-113
RERE	0.272	0.663	0.41026	-27.341	-11.21682	1.0229577763266135e-188
EIF4G2	0.746	0.801	0.93134	-12.05907	-11.23104	1.9319600421875783e-11
BPTF	0.46	0.659	0.69803	-16.1033	-11.24054	7.41423955524064e-17
MYT1L	0.427	0.628	0.67994	-16.77588	-11.40653	1.3835138775760828e-20
ARID4B	0.467	0.689	0.67779	-16.9819	-11.51023	2.8750598888991546e-26
SARAF	0.518	0.692	0.74855	-15.41858	-11.54166	4.772702602643787e-9
YTHDF2	0.445	0.672	0.6622	-17.58828	-11.647	6.470854519697801e-27
HP1BP3	0.465	0.683	0.68082	-17.14178	-11.67046	8.140294199530419e-27
SRRM1	0.482	0.684	0.70468	-16.57051	-11.67688	1.2156784732555905e-18
CENPV	0.325	0.686	0.47376	-24.76024	-11.73044	4.968112935886979e-142
EIF5	0.445	0.673	0.66122	-17.80152	-11.77069	2.7513692161017466e-28
SEC62	0.453	0.682	0.66422	-17.75929	-11.79613	9.055148351413348e-30
RBPJ	0.512	0.678	0.75516	-15.6669	-11.83105	4.477510686330712e-7
DDX24	0.465	0.713	0.65217	-18.18052	-11.85686	6.030035994371893e-39
H1FX	0.241	0.672	0.35863	-33.1233	-11.87904	2.4219075545787932e-231
RSF1	0.476	0.689	0.69086	-17.26263	-11.926	2.8759013955989404e-19
MGST3	0.4	0.68	0.58824	-20.41443	-12.00849	7.542437165570253e-73
IER2	0.326	0.536	0.60821	-19.92555	-12.1189	7.562203367824384e-43
DPYSL2	0.402	0.641	0.62715	-19.34478	-12.13198	4.1480004680111625e-46
MAP4K4	0.37	0.669	0.55306	-22.20647	-12.2816	2.1740445084192386e-90
RPAIN	0.527	0.736	0.71603000000000006	-17.37299	-12.43963	2.015725095144767e-15
C19orf43	0.512	0.735	0.6966	-17.97503	-12.52138	3.933395385670016e-22
NREP	0.734	0.813	0.90283	-13.89715	-12.54675	4.537700390700744e-5
DDX17	0.541	0.734	0.73706	-17.12935	-12.62531	9.431112824021936e-11
KMT2A	0.363	0.698	0.52006	-24.41826	-12.6989	3.8456269539681725e-115
GSTP1	0.576	0.748	0.77005	-16.7045	-12.86336	6.758869533455654e-4
LMO4	0.332	0.664	0.5	-25.77061	-12.88531	3.752380837466396e-128
POU3F3	0.359	0.69	0.52029	-24.7703	-12.88774	1.263894885201341e-118
CRMP1	0.465	0.702	0.66239	-19.45727	-12.88836	9.133973380467808e-37
CSNK1E	0.383	0.709	0.5402	-24.04492	-12.989	7.285248943683692e-97
YWHAB	0.508	0.727	0.69876	-18.73791	-13.09334	7.797804657073507e-19
ELAVL3	0.52	0.71	0.73239	-18.16324	-13.30265	3.9633873857759135e-12
WHSC1L1	0.451	0.73	0.61781	-21.67846	-13.39313	2.013224450167588e-58
NR2F1	0.33	0.649	0.50847	-26.38113	-13.41414	7.451478140917076e-115
DCX	0.787	0.822	0.95742	-14.07719	-13.47779	2.357439505084728e-23
PEG10	0.372	0.647	0.57496	-23.44706	-13.48116	2.378999483566069e-71
CBX3	0.352	0.7	0.50286	-26.87545	-13.51451	5.458498915924921e-130
TNRC6B	0.437	0.689	0.63425	-21.40058	-13.57337	1.4252321679611176e-47
KIF5C	0.364	0.705	0.51631	-26.9203	-13.89927	1.554297672720891e-125
ANKRD12	0.485	0.698	0.69484	-20.14553	-13.99797	8.164845114007638e-22
TOMM7	0.54	0.736	0.7337	-19.12451	-14.03157	2.0423995409464936e-17
PTPRZ1	0.534	0.698	0.76504	-18.66059	-14.27615	2.2712375619480897e-9
TMA7	0.565	0.759	0.7444	-19.25703	-14.33494	1.8459302867178064e-12
ARHGAP21	0.34	0.721	0.47157	-30.41658	-14.34347	1.0616843587205656e-171
ST13	0.534	0.734	0.72751999999999994	-20.14575	-14.65645	3.197334307498917e-17
UBB	0.873	0.922	0.94685	-15.64559	-14.8141	1.2247913451807518e-37
TBCA	0.526	0.724	0.72652	-20.81134	-15.11984	3.4950650190101115e-22
MYL6	0.856	0.893	0.95857	-16.06687	-15.40116	1.0661437560569702e-18
DNAJA1	0.54	0.758	0.7124	-21.62853	-15.40819	9.326400204236748e-25
KIDINS220	0.535	0.746	0.71716	-21.49348	-15.41423	6.72016392682106e-19
KMT2E	0.599	0.777	0.77091	-20.02515	-15.43766	1.8103227854123727e-4
TERF2IP	0.536	0.768	0.69792	-22.12635	-15.44235	1.938809433384138e-26
ROBO2	0.745	0.828	0.89976	-17.55022	-15.79095	1.9050653099577446e-6
ARGLU1	0.572	0.787	0.72681	-21.72691	-15.79135	4.2259054540476455e-18
RSRC2	0.533	0.743	0.71736	-22.16915	-15.90331	1.4187053071760498e-16
SLA	0.542	0.722	0.75069	-21.39392	-16.06026	8.857733828880844e-5
XRCC5	0.577	0.767	0.75228	-21.47196	-16.15296	9.305885494392357e-14
SERBP1	0.517	0.744	0.69489	-23.2523	-16.15785	3.193160120703868e-33
GADD45G	0.335	0.654	0.51223	-31.65253	-16.21345	3.9447197805863155e-122
SRGAP1	0.49	0.712	0.6882	-23.56015	-16.21415	7.502494935579453e-29
HNRNPR	0.6	0.783	0.76628	-21.16928	-16.22167	3.8598781666641876e-8
TRA2B	0.489	0.728	0.6717	-24.15788	-16.22693	4.04372753565469e-47
RPL23A	0.931	0.954	0.97589	-16.68827	-16.28593	5.647104341505815e-65
ARL4C	0.354	0.731	0.48427	-33.83907	-16.38718	7.798511864390844e-172
RTF1	0.512	0.758	0.67546	-24.62249	-16.63155	2.6321522100063177e-44
ZNF704	0.46	0.737	0.62415	-26.8762	-16.77483	2.0698858917584736e-68
HNRNPU	0.566	0.776	0.72938	-23.06995	-16.8268	2.14732668305445e-22
NDUFB11	0.598	0.797	0.75031	-22.4812	-16.86795	1.342354661059156e-13
PPA1	0.566	0.77	0.73506	-23.6293	-17.36907	4.0473417018782934e-20
CFL1	0.948	0.956	0.99163	-17.8418	-17.69249	4.816758456244326e-84
SKP1	0.801	0.875	0.91543	-19.53081	-17.87906	0.0014497611013133552
