gene	stage_area	area	celltype_stage	celltype_region	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logfc	name_1006	n	description	go_id	definition_1006	namespace_1003	family	is_tf	stage_region	stage	region
HINT1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.43998	0	0.002	1.00203	0.986	0.984	0.43908	protein binding	2221	histidine triad nucleotide binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4912]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
CD99	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.43665	0	0.025	1.03027	0.851	0.826	0.42382	protein binding	2221	CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MT-ND3	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.40415	0	0.008	1.00818	0.986	0.978	0.40087	protein binding	2221	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
FTL	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.39233	0	0.003	1.00305	0.988	0.985	0.39114	protein binding	2221	ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
H3F3B	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.38923	0	0.006	1.00609	0.992	0.986	0.38688	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
RPS4Y1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.38794	0	0.012	1.01277	0.952	0.94	0.38305	protein binding	2221	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
GAPDH	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.38439	0	0	1	0.999	0.999	0.38439	protein binding	2221	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4141]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
ACTB	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.38073	0	0.001	1.001	1	0.999	0.38035	protein binding	2221	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
C4orf48	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.37762	0	0.074	1.10835	0.757	0.683	0.34071	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
ALKBH7	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.36984	0	0.033	1.0532300000000001	0.653	0.62	0.35115	protein binding	2221	alkB homolog 7 [Source:HGNC Symbol;Acc:HGNC:21306]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MALAT1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.36845	0	0.024	1.02459	1	0.976	0.3596	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
MT-CYB	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.36788	0	0.005	1.00506	0.994	0.989	0.36603	metal ion binding	430	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	GO:0046872	Interacting selectively and non-covalently with any metal ion.	molecular_function	NA	non_TF	early_pfc	early	pfc
ATP6V1G1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.36655	0	0.009	1.01001	0.908	0.899	0.36292	protein binding	2221	ATPase H+ transporting V1 subunit G1 [Source:HGNC Symbol;Acc:HGNC:864]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL11	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.36528	0	0.001	1.001	1	0.999	0.36491	protein binding	2221	ribosomal protein L11 [Source:HGNC Symbol;Acc:HGNC:10301]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
HIGD2A	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.3561	0	0.03	1.04942	0.637	0.607	0.33933	oxidation-reduction process	208	HIG1 hypoxia inducible domain family member 2A [Source:HGNC Symbol;Acc:HGNC:28311]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
RPL6	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.35513	0	0	1	1	1	0.35513	protein binding	2221	ribosomal protein L6 [Source:HGNC Symbol;Acc:HGNC:10362]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
CSRP2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.35357	0	0.007	1.00949	0.745	0.738	0.35025	protein binding	2221	cysteine and glycine rich protein 2 [Source:HGNC Symbol;Acc:HGNC:2470]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
H1FX	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.35027	0	0.028	1.0326	0.887	0.859	0.33921	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
ANXA2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34917	0	0.084	1.19535	0.514	0.43	0.29211	protein binding	2221	annexin A2 [Source:HGNC Symbol;Acc:HGNC:537]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL5	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34794	0	0.001	1.001	1	0.999	0.3476	protein binding	2221	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
DBI	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34615	0	0.001	1.00101	0.99	0.989	0.34581	identical protein binding	321	diazepam binding inhibitor, acyl-CoA binding protein [Source:HGNC Symbol;Acc:HGNC:2690]	GO:0042802	Interacting selectively and non-covalently with an identical protein or proteins.	molecular_function	NA	non_TF	early_pfc	early	pfc
ATP5O	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34188	0	0.004	1.00464	0.866	0.862	0.3403	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
RTN1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34132	0	0.051	1.06755	0.806	0.755	0.31972	protein binding	2221	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPS13	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.34011	0	-0.001	0.999	0.998	0.999	0.34045	protein binding	2221	ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL8	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.33279	0	0	1	1	1	0.33279	protein binding	2221	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SEPW1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.33178	0	0.004	1.00442	0.908	0.904	0.33032	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
HMGN3	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.3298	0	0.001	1.00101	0.987	0.986	0.32946	DNA binding	343	high mobility group nucleosomal binding domain 3 [Source:HGNC Symbol;Acc:HGNC:12312]	GO:0003677	Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).	molecular_function	NA	non_TF	early_pfc	early	pfc
MYL6	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.3247	0	0.001	1.00101	0.996	0.995	0.32438	protein binding	2221	myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MT-ND2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.32109	0	0.002	1.00227	0.882	0.88	0.32037	oxidation-reduction process	208	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
STK17A	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.31806	0	0.034	1.07143	0.51	0.476	0.29686	nucleotide binding	283	serine/threonine kinase 17a [Source:HGNC Symbol;Acc:HGNC:11395]	GO:0000166	Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.	molecular_function	NA	non_TF	early_pfc	early	pfc
CLU	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.31761	0	-0.002	0.99787	0.939	0.941	0.31828	protein binding	2221	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
NDUFB11	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.31399	0	-0.001	0.99888	0.894	0.895	0.31434	protein binding	2221	NADH:ubiquinone oxidoreductase subunit B11 [Source:HGNC Symbol;Acc:HGNC:20372]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
HN1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.31209	0	-0.012	0.98727	0.931	0.943	0.31611	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
COX5A	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.30936	0	0	1	0.74	0.74	0.30936	protein binding	2221	cytochrome c oxidase subunit 5A [Source:HGNC Symbol;Acc:HGNC:2267]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPS7	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.30838	0	0.001	1.001	0.999	0.998	0.30808	protein binding	2221	ribosomal protein S7 [Source:HGNC Symbol;Acc:HGNC:10440]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MT-ND4	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.30751	0	0.004	1.00405	0.991	0.987	0.30626	oxidation-reduction process	208	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
NDUFC2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.30263	0	-0.003	0.99635	0.819	0.822	0.30374	oxidation-reduction process	208	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
ZC3H15	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.30186	0	-0.008	0.98764	0.639	0.647	0.30563	protein binding	2221	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:HGNC:29528]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
NACA	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.29814	0	0	1	0.999	0.999	0.29814	protein binding	2221	nascent polypeptide associated complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:7629]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SEC61B	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.2981	0	-0.003	0.99649	0.852	0.855	0.29915	protein binding	2221	SEC61 translocon subunit beta [Source:HGNC Symbol;Acc:HGNC:16993]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SRP14	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.29705	0	0	1	0.993	0.993	0.29705	protein binding	2221	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
FAU	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.29537	0	-0.002	0.99799	0.992	0.994	0.29597	protein binding	2221	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
MT-ND5	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.29248	0	0.007	1.00794	0.889	0.882	0.29018	oxidation-reduction process	208	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
HNRNPDL	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.29058	0	-0.001	0.99894	0.942	0.943	0.29089	protein binding	2221	heterogeneous nuclear ribonucleoprotein D like [Source:HGNC Symbol;Acc:HGNC:5037]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
PRDX1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.28436	0	-0.014	0.98548	0.95	0.964	0.28855	protein binding	2221	peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SF3B6	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.28239	0	-0.016	0.98161	0.854	0.87	0.28768	protein binding	2221	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SERF2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.28071	0	-0.004	0.99593	0.978	0.982	0.28185	molecular_function	79	small EDRK-rich factor 2 [Source:HGNC Symbol;Acc:HGNC:10757]	GO:0003674	A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL39	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.27902	0	-0.002	0.998	0.997	0.999	0.27958	RNA binding	665	ribosomal protein L39 [Source:HGNC Symbol;Acc:HGNC:10350]	GO:0003723	Interacting selectively and non-covalently with an RNA molecule or a portion thereof.	molecular_function	NA	non_TF	early_pfc	early	pfc
RPS26	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.27467	0	-0.003	0.99692	0.971	0.974	0.27552	protein binding	2221	ribosomal protein S26 [Source:HGNC Symbol;Acc:HGNC:10414]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL12	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.27195	0	0.001	1.001	0.998	0.997	0.27167	protein binding	2221	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
COX7A2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26768	0	-0.01	0.98824	0.84	0.85	0.27086	proton transmembrane transport	42	cytochrome c oxidase subunit 7A2 [Source:HGNC Symbol;Acc:HGNC:2288]	GO:1902600	The directed movement of a proton across a membrane.	biological_process	NA	non_TF	early_pfc	early	pfc
DYNLT1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26765	0	-0.021	0.97635	0.867	0.888	0.27413	protein binding	2221	dynein light chain Tctex-type 1 [Source:HGNC Symbol;Acc:HGNC:11697]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
TBCB	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26546	0	-0.018	0.97842	0.816	0.834	0.27132	protein binding	2221	tubulin folding cofactor B [Source:HGNC Symbol;Acc:HGNC:1989]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
SKP1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26447	0	-0.004	0.99591	0.973	0.977	0.26555	protein binding	2221	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
H2AFZ	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26379	0	-0.009	0.99064	0.953	0.962	0.26628	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
MT-ND4L	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.26222	0	0.001	1.00147	0.682	0.681	0.26184	oxidation-reduction process	208	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	GO:0055114	A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.	biological_process	NA	non_TF	early_pfc	early	pfc
GSTM3	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25817	0	0.011	1.02161	0.52	0.509	0.25271	protein binding	2221	glutathione S-transferase mu 3 [Source:HGNC Symbol;Acc:HGNC:4635]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RPL30	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25643	0	0.001	1.001	1	0.999	0.25618	protein binding	2221	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
STMN1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25606	0	-0.001	0.99899	0.987	0.988	0.25632	protein binding	2221	stathmin 1 [Source:HGNC Symbol;Acc:HGNC:6510]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
RHEB	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25539	0	-0.014	0.98482	0.908	0.922	0.25933	protein binding	2221	Ras homolog, mTORC1 binding [Source:HGNC Symbol;Acc:HGNC:10011]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
ATP5C1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25462	0	-0.022	0.97536	0.871	0.893	0.26105	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
MRPS6	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25263	0	-0.01	0.98592	0.7	0.71	0.25624	protein binding	2221	mitochondrial ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:14051]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
FIS1	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.25236	0	-0.022	0.97403	0.825	0.847	0.25909	protein binding	2221	fission, mitochondrial 1 [Source:HGNC Symbol;Acc:HGNC:21689]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
ATP5J	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.24915	0	-0.033	0.96358	0.873	0.906	0.25857	NA	NA	NA	NA	NA	NA	NA	non_TF	early_pfc	early	pfc
SOX4	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.24545	0	-0.03	0.96591	0.85	0.88	0.25411	protein binding	2221	SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	HMG	TF	early_pfc	early	pfc
GABARAPL2	early_pfc	pfc	rg_early	rg_pfc	rg	gw16	0.24534	0	-0.02	0.97879	0.923	0.943	0.25066	protein binding	2221	GABA type A receptor associated protein like 2 [Source:HGNC Symbol;Acc:HGNC:13291]	GO:0005515	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).	molecular_function	NA	non_TF	early_pfc	early	pfc
