gene	cluster	cell_type	individual	gene.score	p_val_adj	diff.pct	enrichment.ratio	pct.1	pct.2	avg_logFC
MTCH1	pfc	ipc	gw18	1.41018	0	0.163	2.79118	0.254	0.091	0.50523
BTG1	pfc	ipc	gw18	1.38032	0	0.278	1.90259	0.586	0.308	0.7255
TERF2IP	pfc	ipc	gw18	1.34025	0	0.259	1.61666	0.679	0.42	0.82902
LIMCH1	pfc	ipc	gw18	1.29126	0	0.18	1.99999	0.36	0.18	0.64563
GLTSCR2	pfc	ipc	gw18	1.27165	0	0.263	1.78978	0.596	0.333	0.71051
STUB1	pfc	ipc	gw18	1.22554	0	0.097	3.55254	0.135	0.038	0.34498
KLF3	pfc	ipc	gw18	1.18558	0	0.139	2.36272	0.241	0.102	0.50178
PDCD2	pfc	ipc	gw18	1.17677	0	0.087	3.89987	0.117	0.03	0.30175
NDN	pfc	ipc	gw18	1.1737899999999999	0	0.088	3.37829	0.125	0.037	0.34745
JUN	pfc	ipc	gw18	1.16846	0	0.121	1.64361	0.309	0.188	0.71091
TSPAN5	pfc	ipc	gw18	1.14267	0	0.166	2.14481	0.311	0.145	0.53276
SLBP	pfc	ipc	gw18	1.12529	0	0.096	3.46145	0.135	0.039	0.32509
YWHAH	pfc	ipc	gw18	1.1244	0	0.166	2.39494	0.285	0.119	0.46949
TSPAN13	pfc	ipc	gw18	1.08496	0	0.193	1.7423	0.453	0.26	0.62272
METTL9	pfc	ipc	gw18	1.0838	0	0.18	1.90908	0.378	0.198	0.56771
RERE	pfc	ipc	gw18	1.08337	0	0.206	1.59537	0.552	0.346	0.67907
LY6H	pfc	ipc	gw18	1.07137	0	0.188	2.02173	0.372	0.184	0.52993
CYC1	pfc	ipc	gw18	1.06756	0	0.145	1.88956	0.308	0.163	0.56498
IER2	pfc	ipc	gw18	1.03954	0	0.12	1.66666	0.3	0.18	0.62373
SRM	pfc	ipc	gw18	1.03415	0	0.102	2.69996	0.162	0.06	0.38303
PNRC1	pfc	ipc	gw18	1.00105	0	0.155	2.11509	0.294	0.139	0.47329
BRD9	pfc	ipc	gw18	0.98149	0	0.094	2.56662	0.154	0.06	0.3824
GADD45GIP1	pfc	ipc	gw18	0.96879	0	0.229	1.77627	0.524	0.295	0.54541
LMO3	pfc	ipc	gw18	0.95677	0	0.15	2.20966	0.274	0.124	0.43299
RNF145	pfc	ipc	gw18	0.95254	0	0.098	3.08504	0.145	0.047	0.30876
RPL36A	pfc	ipc	gw18	0.94771	0	0.207	1.31603	0.862	0.655	0.72013
TRAF4	pfc	ipc	gw18	0.89891	0	0.093	2.57623	0.152	0.059	0.34893
GABPB1	pfc	ipc	gw18	0.89885	0	0.121	2.34442	0.211	0.09	0.3834
TUBB2A	pfc	ipc	gw18	0.89131	0	0.264	1.40244	0.92	0.656	0.63554
APLP1	pfc	ipc	gw18	0.88186	0	0.13	1.87247	0.279	0.149	0.47096
DUT	pfc	ipc	gw18	0.87949	0	0.12	2.11109	0.228	0.108	0.4166
ITPR2	pfc	ipc	gw18	0.84691	0	0.08	2.77772	0.125	0.045	0.30489
BEX5	pfc	ipc	gw18	0.81987	0	0.119	2.11213	0.226	0.107	0.38817
KLC1	pfc	ipc	gw18	0.80472	0	0.154	1.78172	0.351	0.197	0.45166
DYNC1I1	pfc	ipc	gw18	0.77576	0	0.077	2.60411	0.125	0.048	0.2979
NDUFA13	pfc	ipc	gw18	0.77185	0	0.157	1.45375	0.503	0.346	0.53094
FTH1	pfc	ipc	gw18	0.76882	0	0.228	1.29572	0.999	0.771	0.59335
RTN1	pfc	ipc	gw18	0.75323	0	0.202	1.28857	0.902	0.7	0.58455
ZNF821	pfc	ipc	gw18	0.74728000000000006	0	0.102	1.82925	0.225	0.123	0.40852
LMNB1	pfc	ipc	gw18	0.74295	0	0.094	2.08044	0.181	0.087	0.35711
ARPP21	pfc	ipc	gw18	0.73872	0	0.141	1.638	0.362	0.221	0.45099
SPG21	pfc	ipc	gw18	0.73740000000000006	0	0.097	2.31078	0.171	0.074	0.31911
PNMA1	pfc	ipc	gw18	0.73353	0	0.098	2.16664	0.182	0.084	0.33855
TARSL2	pfc	ipc	gw18	0.70318	0	0.077	2.39996	0.132	0.055	0.293
BOD1	pfc	ipc	gw18	0.69691	0	0.074	2.15622	0.138	0.064	0.32321
OLFM1	pfc	ipc	gw18	0.68725	0	0.075	2.38884	0.129	0.054	0.28769
LNX1	pfc	ipc	gw18	0.68721	0	0.067	2.52267	0.111	0.044	0.27241
LAGE3	pfc	ipc	gw18	0.68492	0	0.086	2.10254	0.164	0.078	0.32576
ZNF711	pfc	ipc	gw18	0.68229	0	0.127	1.80891	0.284	0.157	0.37718
NTM	pfc	ipc	gw18	0.68091	0	0.122	1.19582	0.745	0.623	0.5694
CPE	pfc	ipc	gw18	0.66594	0	0.149	1.4822	0.458	0.309	0.44929
AC004158.3	pfc	ipc	gw18	0.65751	0	0.14	1.67307	0.348	0.208	0.39299
MTDH	pfc	ipc	gw18	0.65464	0	0.127	1.42053	0.429	0.302	0.46085
CTTNBP2	pfc	ipc	gw18	0.6432	0	0.129	1.38165	0.467	0.338	0.46553
SH3BP5	pfc	ipc	gw18	0.64223	0	0.097	1.81511	0.216	0.119	0.35383
SLC4A7	pfc	ipc	gw18	0.64189	0	0.087	1.76314	0.201	0.114	0.36406
LSM7	pfc	ipc	gw18	0.64145	0	0.169	1.41523	0.576	0.407	0.45325
NEUROD2	pfc	ipc	gw18	0.63869	0	0.151	1.26868	0.713	0.562	0.50342
NT5C3B	pfc	ipc	gw18	0.63263	0	0.101	1.60478	0.268	0.167	0.39422
KTN1	pfc	ipc	gw18	0.62048	0	0.128	1.63053	0.331	0.203	0.38054
DPP7	pfc	ipc	gw18	0.61644	0	0.061	2.32604	0.107	0.046	0.26502
MDK	pfc	ipc	gw18	0.61546	0	0.152	1.40105	0.531	0.379	0.43928
HTATSF1	pfc	ipc	gw18	0.61393	0	0.101	1.49753	0.304	0.203	0.40996
CST3	pfc	ipc	gw18	0.61061	0	0.078	1.47852	0.241	0.163	0.41299
C9orf16	pfc	ipc	gw18	0.60158	0	0.149	1.4027	0.519	0.37	0.42888
CCDC85B	pfc	ipc	gw18	0.59574	0	0.077	2.01313	0.153	0.076	0.29592
AKIRIN1	pfc	ipc	gw18	0.59466	0	0.076	2.10142	0.145	0.069	0.28298
PPM1G	pfc	ipc	gw18	0.58982	0	0.097	1.39591	0.342	0.245	0.42253
ZNF428	pfc	ipc	gw18	0.58198	0	0.233	1.38833	0.833	0.6	0.4192
MRPL41	pfc	ipc	gw18	0.58136	0	0.095	1.45237	0.305	0.21	0.40028
PKIA	pfc	ipc	gw18	0.58044	0	0.09	1.7627	0.208	0.118	0.32929
MZT2B	pfc	ipc	gw18	0.57366	0	0.111	1.45491	0.355	0.244	0.3943
RANBP1	pfc	ipc	gw18	0.57245	0	0.145	1.40502	0.503	0.358	0.40743
ARL5A	pfc	ipc	gw18	0.56528	0	0.097	1.69285	0.237	0.14	0.33392
GUK1	pfc	ipc	gw18	0.56149	0	0.142	1.4104	0.488	0.346	0.39811
MAP1LC3A	pfc	ipc	gw18	0.55856	0	0.084	1.45901	0.267	0.183	0.38283
RPL41	pfc	ipc	gw18	0.5546	0	0.004	1.00403	0.997	0.993	0.55238
PWWP2A	pfc	ipc	gw18	0.55311	0	0.067	1.84808	0.146	0.079	0.29929
SERPINE2	pfc	ipc	gw18	0.55131	0	0.081	1.87095	0.174	0.093	0.29467
WIPI2	pfc	ipc	gw18	0.54287	0	0.074	2.12118	0.14	0.066	0.25593
GTF3A	pfc	ipc	gw18	0.53776	0	0.091	1.45499	0.291	0.2	0.3696
NETO2	pfc	ipc	gw18	0.5346	0	0.099	1.81817	0.22	0.121	0.29403
RPS15	pfc	ipc	gw18	0.53425	0	0.017	1.01729	1	0.983	0.52517
TBR1	pfc	ipc	gw18	0.53049	0	0.099	1.46046	0.314	0.215	0.36323
MEG3	pfc	ipc	gw18	0.52968	0	0.107	1.72296	0.255	0.148	0.30742
GPX4	pfc	ipc	gw18	0.52878	0	0.144	1.30769	0.612	0.468	0.40436
CSNK1G3	pfc	ipc	gw18	0.52717	0	0.069	1.68315	0.17	0.101	0.3132
PITHD1	pfc	ipc	gw18	0.52705	0	0.065	1.87835	0.139	0.074	0.28059
CXADR	pfc	ipc	gw18	0.52602	0	0.114	1.35962	0.431	0.317	0.38689
ATP2B1	pfc	ipc	gw18	0.52381	0	0.098	1.70502	0.237	0.139	0.30721
SLA	pfc	ipc	gw18	0.52121	0	0.125	1.22522	0.68	0.555	0.4254
RAB2A	pfc	ipc	gw18	0.51499	0	0.126	1.38414	0.454	0.328	0.37206
SMCHD1	pfc	ipc	gw18	0.51476	0	0.073	1.60832	0.193	0.12	0.32006
NME4	pfc	ipc	gw18	0.514	0	0.069	1.95831	0.141	0.072	0.26247
RP11-436D23.1	pfc	ipc	gw18	0.51317	0	0.095	1.69342	0.232	0.137	0.30304
COX5B	pfc	ipc	gw18	0.51118	0	0.103	1.19074	0.643	0.54	0.42929
AFF3	pfc	ipc	gw18	0.50929	0	0.091	1.5909	0.245	0.154	0.32013
EIF4A3	pfc	ipc	gw18	0.50727	0	0.063	1.85133	0.137	0.074	0.274
NDFIP1	pfc	ipc	gw18	0.50471	0	0.086	1.27922	0.394	0.308	0.39455
PTPRZ1	pfc	ipc	gw18	0.49948	0	0.091	1.14725	0.709	0.618	0.43538
UBE2J2	pfc	ipc	gw18	0.4992	0	0.058	1.84055	0.127	0.069	0.27122
RTN4	pfc	ipc	gw18	0.49856	0	0.093	1.12318	0.848	0.755	0.44389
COX5A	pfc	ipc	gw18	0.49226	0	0.125	1.33068	0.503	0.378	0.36993
H2AFY2	pfc	ipc	gw18	0.48744	0	0.072	1.64284	0.184	0.112	0.29671
NDUFS6	pfc	ipc	gw18	0.48723	0	0.099	1.29729	0.432	0.333	0.37558
MAD2L2	pfc	ipc	gw18	0.48718	0	0.085	1.64884	0.216	0.131	0.29547
HSD11B1L	pfc	ipc	gw18	0.48402	0	0.06	1.84504	0.131	0.071	0.26234
RBFOX1	pfc	ipc	gw18	0.48325	0	0.097	1.51871	0.284	0.187	0.3182
ROGDI	pfc	ipc	gw18	0.48076	0	0.061	1.80261	0.137	0.076	0.2667
PYURF	pfc	ipc	gw18	0.47736	0	0.088	1.43349	0.291	0.203	0.33301
SATB2	pfc	ipc	gw18	0.47052	0	0.102	1.39382	0.361	0.259	0.33758
HNRNPA0	pfc	ipc	gw18	0.46586	0	0.141	1.20494	0.829	0.688	0.38663
PSIP1	pfc	ipc	gw18	0.46301	0	0.104	1.47926	0.321	0.217	0.313
TMED2	pfc	ipc	gw18	0.46137	0	0.08	1.34042	0.315	0.235	0.3442
GCSH	pfc	ipc	gw18	0.45123	0	0.078	1.58208	0.212	0.134	0.28521
AKAP12	pfc	ipc	gw18	0.44936	0	0.051	1.593	0.137	0.086	0.28208
CLTA	pfc	ipc	gw18	0.44846	0	0.122	1.30198	0.526	0.404	0.34445
CADM2	pfc	ipc	gw18	0.44755	0	0.067	1.4855	0.205	0.138	0.30128
SQLE	pfc	ipc	gw18	0.44712	0	0.103	1.33333	0.412	0.309	0.33534
MZT2A	pfc	ipc	gw18	0.44577	0	0.083	1.3915	0.295	0.212	0.32035
RPL13	pfc	ipc	gw18	0.4383	0	0.213	1.27065	1	0.787	0.34494
MPPED1	pfc	ipc	gw18	0.43623	0	0.077	1.74037	0.181	0.104	0.25065
DDT	pfc	ipc	gw18	0.4355	0	0.069	1.2987	0.3	0.231	0.33534
FEZ1	pfc	ipc	gw18	0.43087	0	0.091	1.22304	0.499	0.408	0.3523
C16orf13	pfc	ipc	gw18	0.42596	0	0.08	1.43715	0.263	0.183	0.29639
CBX3	pfc	ipc	gw18	0.42453	0	0.096	1.20382	0.567	0.471	0.35265
