p_val	avg_logFC	pct.1	pct.2	p_val_adj	celltype	area	gene	gene.ratio	gene.score
1.70369991967554e-105	0.622526946238403	0.678	0.234	5.23734392307458e-101	astrocyte	allocortex	FAM69C	2.8974358974358974	1.8037319211522957
7.55496816991334e-105	0.518253800410238	0.419	0.081	2.32247276511306e-100	astrocyte	allocortex	SAP30	5.172839506172839	2.680843732986293
7.25708850105744e-103	0.579305754236773	0.998	0.892	2.23090157611007e-98	astrocyte	allocortex	HSP90AA1	1.1188340807174888	0.6481470209958514
1.27791284780022e-102	0.608673915066924	0.634	0.204	3.92843188542265e-98	astrocyte	allocortex	CTBP2	3.107843137254902	1.891663049766813
1.33208664250692e-102	0.477228163516888	0.462	0.113	4.09496754773053e-98	astrocyte	allocortex	CTB-50L17.10	4.088495575221239	1.9511452349097544
3.03770486199155e-102	0.503567722771473	0.458	0.11	9.33820851624822e-98	astrocyte	allocortex	BCL7C	4.163636363636364	2.0966728820848606
1.22884103787319e-101	0.645294869984462	0.467	0.114	3.77758023452597e-97	astrocyte	allocortex	RARRES2	4.0964912280701755	2.6434447744100327
1.3267118659528e-101	0.546825636789682	0.449	0.107	4.07844494712551e-97	astrocyte	allocortex	PLEKHA5	4.196261682242991	2.2946234665286656
1.13052739017904e-99	0.574675823334009	0.583	0.182	3.47535425014938e-95	astrocyte	allocortex	MTRNR2L12	3.203296703296703	1.8408571703501495
4.81545189134111e-99	0.587634960310398	0.816	0.382	1.4803180659171699e-94	astrocyte	allocortex	PDLIM3	2.136125654450262	1.2552621141709024
2.06116946586192e-98	0.456942297173938	0.383	0.078	6.33624105500611e-94	astrocyte	allocortex	PREX2	4.910256410256411	2.2437038438156187
3.4918138803792e-98	0.603006095635289	0.513	0.145	1.07341850496737e-93	astrocyte	allocortex	EFHD2	3.537931034482759	2.1333939797303674
5.01743000214331e-98	0.475116904117287	0.996	0.862	1.54240815695888e-93	astrocyte	allocortex	TPT1	1.1554524361948957	0.5489749843396959
1.79032620382967e-97	0.469240431145489	0.356	0.061	5.5036417831928e-93	astrocyte	allocortex	ALYREF	5.836065573770492	2.7385179260294117
2.10321219769301e-97	0.488421288311502	0.319	0.04	6.46548461692809e-93	astrocyte	allocortex	ARX	7.975	3.8951597742842283
2.38376992498178e-97	0.547512472102245	0.493	0.139	7.32794712638648e-93	astrocyte	allocortex	TAGLN2	3.5467625899280573	1.9418967535712715
2.11900085949799e-94	0.50121465392897	0.544	0.178	6.51402054218277e-90	astrocyte	allocortex	COL11A1	3.0561797752808992	1.5318020884121333
4.37631221051529e-93	0.495867523568833	0.788	0.356	1.3453221366345e-88	astrocyte	allocortex	HTRA1	2.213483146067416	1.097594406101799
5.43377415776519e-93	0.530409046004193	0.469	0.118	1.6703965138386e-88	astrocyte	allocortex	SLF1	3.9745762711864407	2.1081512082709026
1.9753441517696e-92	0.522485715604322	0.678	0.282	6.07240545695494e-88	astrocyte	allocortex	NFIX	2.4042553191489366	1.2561890609210298
2.63749380163072e-92	0.598394986442581	0.532	0.157	8.10791969559301e-88	astrocyte	allocortex	ENC1	3.388535031847134	2.0276823744423766
7.82749910310142e-92	0.649920232555313	0.338	0.063	2.40625149928441e-87	astrocyte	allocortex	HIST1H1D	5.365079365079366	3.486873628630092
8.09866884666444e-92	0.433565628975276	0.282	0.036	2.48961179015312e-87	astrocyte	allocortex	STXBP6	7.833333333333333	3.3962640936396618
1.36243630459932e-91	0.471384378998532	0.998	0.892	4.18826544396876e-87	astrocyte	allocortex	RPS3	1.1188340807174888	0.527400908341407
1.61105419321712e-91	0.501898195835898	0.547	0.151	4.95254169536876e-87	astrocyte	allocortex	HAPLN1	3.6225165562913912	1.8181345239883195
2.52063981091057e-91	0.515036301882326	0.434	0.117	7.7486988427202e-87	astrocyte	allocortex	CTXN1	3.709401709401709	1.9104765386062346
9.21078570021492e-91	0.550818477087214	0.693	0.255	2.83148763210307e-86	astrocyte	allocortex	MEIS2	2.717647058823529	1.4969302142017225
1.25329053657539e-90	0.469296436802034	0.498	0.154	3.85274043848642e-86	astrocyte	allocortex	VEGFB	3.2337662337662336	1.5175949709572267
1.49946750950236e-89	0.495401642345587	0.613	0.228	4.60951307096121e-85	astrocyte	allocortex	SCG5	2.68859649122807	1.3319351173589684
1.01093434021335e-87	0.477784637715108	0.444	0.117	3.10771325524987e-83	astrocyte	allocortex	PLCE1	3.7948717948717947	1.813131445688102
3.11927608521372e-87	0.477845799632426	0.691	0.267	9.5889666135555e-83	astrocyte	allocortex	SNCAIP	2.5880149812734077	1.2366720881872895
3.97347523123686e-87	0.371487224615968	0.283	0.034	1.22148602083452e-82	astrocyte	allocortex	ZIC2	8.323529411764705	3.092084840185851
9.77257247004753e-87	0.498263255085171	0.767	0.366	3.00418650301731e-82	astrocyte	allocortex	HNRNPF	2.0956284153005464	1.0441746356566288
2.35885497614872e-86	0.448664883973566	0.477	0.137	7.25135608217877e-82	astrocyte	allocortex	GLRX5	3.481751824817518	1.5621397785065034
2.55461585533157e-86	0.493206706566148	0.505	0.15	7.85314460087478e-82	astrocyte	allocortex	MAZ	3.3666666666666667	1.6604625787726983
4.24917289263063e-86	0.418442421124372	0.351	0.072	1.30623823892358e-81	astrocyte	allocortex	CDC34	4.875	2.0399068029813137
6.49671043819077e-86	0.492018037711604	0.76	0.344	1.99715375580423e-81	astrocyte	allocortex	KHDRBS1	2.2093023255813957	1.0870165949442416
1.80321484059301e-85	0.339342673507927	0.264	0.036	5.54326274146697e-81	astrocyte	allocortex	PLPPR1	7.333333333333334	2.4885129390581318
1.96652563076476e-85	0.442128469022299	0.398	0.09	6.04529644153396e-81	astrocyte	allocortex	RYK	4.4222222222222225	1.9551903407875002
4.74462599112663e-85	0.506749760746192	0.593	0.204	1.45854547593224e-80	astrocyte	allocortex	SCRN1	2.906862745098039	1.4730520006004504
1.62933233154009e-84	0.403401840009893	0.528	0.175	5.00873052038739e-80	astrocyte	allocortex	JAM2	3.0171428571428573	1.2171209801441343
8.32195602590567e-84	0.505274005652347	0.454	0.131	2.55825250192366e-79	astrocyte	allocortex	ARL4C	3.465648854961832	1.7511022791310347
9.05793374868124e-84	0.507166022867178	0.668	0.263	2.7844994136821e-79	astrocyte	allocortex	KMT2A	2.5399239543726235	1.2881631303242393
2.96660121321763e-83	0.399432990525434	0.286	0.045	9.11962878955232e-79	astrocyte	allocortex	ZFPM1	6.355555555555555	2.5386185620060915
3.37983626940144e-83	0.522883006927932	0.451	0.121	1.0389954675767e-78	astrocyte	allocortex	C8orf4	3.7272727272727275	1.9489275712768375
4.5597378497571e-82	0.608178241731873	0.867	0.501	1.40170901239383e-77	astrocyte	allocortex	CDO1	1.7305389221556886	1.0524761189252172
6.20931848960118e-82	0.450436241799057	0.968	0.668	1.9088065968883e-77	astrocyte	allocortex	QKI	1.4491017964071855	0.6527279671579149
1.08032154245439e-81	0.498247399069534	0.769	0.342	3.32101645365905e-77	astrocyte	allocortex	PPA1	2.2485380116959064	1.120328216036467
1.45141407005998e-81	0.521040531333421	0.609	0.232	4.4617919927714e-77	astrocyte	allocortex	INTU	2.625	1.36773139475023
1.71213203399869e-81	0.445020611327062	0.634	0.235	5.26326508571537e-77	astrocyte	allocortex	LAPTM4B	2.697872340425532	1.2006087982185418
4.63579107543738e-81	0.447439418257808	0.552	0.186	1.4250885345002e-76	astrocyte	allocortex	AGPAT5	2.9677419354838714	1.3278847251522046
6.04396439320183e-81	0.447559036230444	0.499	0.158	1.85797509411418e-76	astrocyte	allocortex	BOD1L1	3.1582278481012658	1.4134934118923517
2.14361344279063e-80	0.471394953741588	0.764	0.342	6.58968208448268e-76	astrocyte	allocortex	PGLS	2.2339181286549707	1.0530577329198048
2.16471384245147e-80	0.487487242621863	0.605	0.209	6.65454682308006e-76	astrocyte	allocortex	HIST1H1C	2.8947368421052633	1.411147281273814
3.71239275472412e-80	0.49237120052889	0.407	0.094	1.14122665672974e-75	astrocyte	allocortex	PHLDA1	4.329787234042553	2.1318625384601937
5.06578322581686e-80	0.41055931140786	0.334	0.072	1.55727242144836e-75	astrocyte	allocortex	PAQR4	4.638888888888889	1.9045390279197951
8.21571925423045e-80	0.43788444029113	0.48	0.147	2.52559425594298e-75	astrocyte	allocortex	ANKRD9	3.2653061224489797	1.4298267438077714
1.09568901938525e-79	0.484544802034796	0.659	0.262	3.36825761449218e-75	astrocyte	allocortex	FAM171B	2.515267175572519	1.2187596356524066
1.43185235579828e-79	0.466416404049854	0.76	0.351	4.40165732695948e-75	astrocyte	allocortex	NKAIN3	2.1652421652421654	1.0099044646093707
1.96977654775498e-79	0.494956738732872	0.949	0.621	6.05529008545359e-75	astrocyte	allocortex	NPM1	1.5281803542673107	0.756383164343793
2.96988139773735e-79	0.461282733763298	0.444	0.126	9.12971240478437e-75	astrocyte	allocortex	KDM1A	3.5238095238095237	1.6254724904040023
3.53555127680895e-79	0.415854458472113	0.449	0.123	1.08686381800384e-74	astrocyte	allocortex	PDCD7	3.6504065040650406	1.5180378199510467
1.25883290377084e-78	0.432200653152254	0.878	0.484	3.86977822948194e-74	astrocyte	allocortex	MYO10	1.8140495867768596	0.7840334162555351
2.49335949383241e-78	0.432740857393024	0.655	0.279	7.66483641999023e-74	astrocyte	allocortex	NLRP1	2.347670250896057	1.0159328372488554
4.53352449585091e-78	0.471956878531599	0.547	0.18	1.39365076526953e-73	astrocyte	allocortex	POLE4	3.038888888888889	1.4342245142043593
1.76659355878741e-77	0.462835022279275	0.565	0.207	5.43068525906837e-73	astrocyte	allocortex	UBE2H	2.729468599033816	1.2632936598443978
4.29699259594521e-77	0.421976816504936	0.506	0.17	1.32093849391952e-72	astrocyte	allocortex	PLEKHO1	2.9764705882352938	1.2560015832441036
5.78350812655256e-77	0.4827305361814	0.412	0.112	1.77790823318352e-72	astrocyte	allocortex	FBLN1	3.6785714285714284	1.7757587580958643
7.58697504425335e-77	0.493255940934161	0.515	0.178	2.33231199835392e-72	astrocyte	allocortex	SYNE1	2.8932584269662924	1.427116907758949
7.76173761134521e-77	0.406306262512673	0.326	0.065	2.38603575910363e-72	astrocyte	allocortex	MGAT4B	5.015384615384615	2.037782178140483
7.95000773482928e-77	0.441391100955779	0.587	0.211	2.44391187776387e-72	astrocyte	allocortex	ANKRD11	2.781990521327014	1.2279458590570722
8.73922407132142e-77	0.371107932830304	0.639	0.254	2.68652487176492e-72	astrocyte	allocortex	FAM181B	2.515748031496063	0.9336140514904105
2.20079994685365e-76	0.537720936606903	0.319	0.063	6.7654791166228e-72	astrocyte	allocortex	C1QL2	5.063492063492063	2.722745694882572
1.24104748027365e-75	0.41903597984728	0.466	0.143	3.81510405910924e-71	astrocyte	allocortex	GABRA2	3.258741258741259	1.3655298364254023
2.26789054162847e-75	0.433520949132013	0.697	0.302	6.97172231402007e-71	astrocyte	allocortex	MTPN	2.30794701986755	1.000543382599381
5.68683133125011e-75	0.382707344658464	0.343	0.083	1.7481888195396e-70	astrocyte	allocortex	TUSC1	4.132530120481928	1.581549629130761
1.12354842704664e-74	0.392201261333771	0.707	0.32	3.45390021958409e-70	astrocyte	allocortex	STMN4	2.2093749999999996	0.8665196617593001
1.15710685016276e-74	0.475967672233162	0.828	0.435	3.55706216808533e-70	astrocyte	allocortex	PAFAH1B3	1.9034482758620688	0.9059798450782944
2.5544380008422e-74	0.418996575078282	0.454	0.131	7.85259785838901e-70	astrocyte	allocortex	SUZ12	3.465648854961832	1.4520950006529771
2.6327122306235e-74	0.504790070071334	0.912	0.591	8.09322066815971e-70	astrocyte	allocortex	ID4	1.5431472081218276	0.7789653873182009
3.39897624155063e-74	0.393841817133911	0.434	0.132	1.04487928641508e-69	astrocyte	allocortex	CUL3	3.2878787878787876	1.2949041563342223
3.86696940836938e-74	0.368560105779115	0.262	0.037	1.18874506582683e-69	astrocyte	allocortex	CCDC109B	7.081081081081082	2.6098039922737337
5.11410532032604e-74	0.469610068446049	0.596	0.218	1.57212711652143e-69	astrocyte	allocortex	NRP2	2.7339449541284404	1.2838880770359873
5.86864890362699e-74	0.386838528173455	0.567	0.216	1.80408135946397e-69	astrocyte	allocortex	NT5C	2.625	1.0154511364553194
5.0454880603569e-73	0.370843031780614	0.998	0.902	1.55103348463431e-68	astrocyte	allocortex	RPL8	1.106430155210643	0.4103119132118102
5.19586262571682e-73	0.471105320100427	0.735	0.334	1.59726012977161e-68	astrocyte	allocortex	MTCH1	2.200598802395209	1.0367138032150114
8.76647147893351e-73	0.391816294907232	0.329	0.068	2.69490099733895e-68	astrocyte	allocortex	TAF10	4.838235294117647	1.8956994268305782
1.4141873195391e-72	0.402869880682056	0.258	0.042	4.34735323899514e-68	astrocyte	allocortex	LRRC10B	6.142857142857142	2.4747721241897724
5.42900522335093e-72	0.494586906265569	0.723	0.337	1.66893049571031e-67	astrocyte	allocortex	UCHL1	2.14540059347181	1.061087042225538
6.57805800135603e-72	0.389660944275965	0.309	0.07	2.02216081019686e-67	astrocyte	allocortex	PRKAR2B	4.414285714285714	1.7200747397324738
8.99292752717475e-72	0.545967054218772	0.54	0.195	2.76451585112879e-67	astrocyte	allocortex	IGFBP5	2.769230769230769	1.511908765528907
9.75163123034943e-72	0.382694155340247	0.569	0.226	2.99774895652172e-67	astrocyte	allocortex	MAP4K4	2.5176991150442474	0.9635087362327456
2.11234595411641e-71	0.400951630075661	0.304	0.063	6.49356269754924e-67	astrocyte	allocortex	FAM114A1	4.825396825396825	1.9347507229047767
3.23863007693638e-71	0.366736731313221	0.453	0.15	9.95587271951011e-67	astrocyte	allocortex	RNF187	3.02	1.1075449285659273
7.24342993988864e-71	0.351006921463478	0.527	0.199	2.22670279782117e-66	astrocyte	allocortex	TXNL4A	2.648241206030151	0.9295509930213715
2.82142074183232e-70	0.391963709547469	0.4	0.106	8.67332950246674e-66	astrocyte	allocortex	NT5DC2	3.773584905660378	1.4791083379149776
4.23849942137027e-70	0.332569663879932	0.288	0.059	1.30295710712343e-65	astrocyte	allocortex	TBC1D1	4.88135593220339	1.6233909016511934
1.20719807691e-69	0.355652817106848	0.304	0.062	3.71104760822902e-65	astrocyte	allocortex	SH3GLB2	4.903225806451613	1.7438460709755128
2.87288602814045e-69	0.490766060435289	0.883	0.511	8.83153893910655e-65	astrocyte	allocortex	HN1	1.7279843444227005	0.8480360692061842
5.90625051666241e-69	0.349245759710467	0.995	0.883	1.81564047132719e-64	astrocyte	allocortex	RPS7	1.1268403171007928	0.3935442026182499
4.3693512639608e-68	0.332213877656216	0.346	0.095	1.34318227205419e-63	astrocyte	allocortex	CAPNS1	3.6421052631578945	1.2099579123057973
9.2072624354597e-68	0.466302510540576	0.727	0.332	2.83040454528467e-63	astrocyte	allocortex	CARHSP1	2.189759036144578	1.0210901360331286
1.38154298728203e-67	0.352123485792775	0.455	0.152	4.24700129720369e-63	astrocyte	allocortex	SRM	2.993421052631579	1.0540538554981096
1.48041296616897e-67	0.444690933762172	0.651	0.292	4.55093749930002e-63	astrocyte	allocortex	FGFR3	2.2294520547945207	0.9914171160245685
2.19969679173001e-67	0.32364835038906	0.255	0.048	6.76208790745723e-63	astrocyte	allocortex	SLC2A4RG	5.3125	1.7193818614418812
2.67605033900271e-67	0.386719193014753	0.411	0.118	8.22644634712824e-63	astrocyte	allocortex	NSMCE3	3.483050847457627	1.346962612958165
5.68121205021507e-67	0.396688956317983	0.678	0.297	1.74646139635661e-62	astrocyte	allocortex	WHSC1L1	2.282828282828283	0.9055727689683248
5.91790445995475e-67	0.415000720052654	0.842	0.467	1.81922301003469e-62	astrocyte	allocortex	HNRNPR	1.8029978586723767	0.7482454096024296
7.12086625998863e-67	0.356736191830423	0.989	0.951	2.18902549698311e-62	astrocyte	allocortex	RPL13	1.0399579390115667	0.3709906348268016
8.2862579770349e-67	0.390623455810588	0.726	0.333	2.5472785647203e-62	astrocyte	allocortex	IGFBP2	2.18018018018018	0.8516295162717323
1.76873631651988e-66	0.366565558610505	0.419	0.128	5.43727231061378e-62	astrocyte	allocortex	YPEL3	3.2734375	1.199929445764075
