gene	individual	area	region	stage	cell_type	p_val_adj	avg_logfc	gene.score	enrichment_ratio	pct.1	pct.2
AKIRIN2	gw14	somatosensory	msp	early	rg	0	1.00455	15.25957	15.19048	0.319	0.021
AKIRIN2	gw14	somatosensory	msp	early	neuron	0	0.66532	4.04299	6.07677	0.237	0.039
AKR7A2	gw14	somatosensory	msp	early	rg	0	0.60038	8.85491	14.74877	0.177	0.012
AKT3	gw14	somatosensory	msp	early	neuron	4e-5	0.28923	0.45046	1.55747	0.271	0.174
ALDH2	gw14	somatosensory	msp	early	ipc	0.01822	0.60238	4.74791	7.88189	0.134	0.017
ALDH2	gw14	somatosensory	msp	early	rg	2.5e-4	0.3881	2.15385	5.54972	0.111	0.02
AMZ2	gw14	v1	v1	early	ipc	0.0897	0.43249	1.18272	2.73467	0.268	0.098
ANAPC16	gw14	v1	v1	early	neuron	0.0098	0.25152	0.37672	1.49778	0.337	0.225
ANK3	gw14	somatosensory	msp	early	neuron	0	0.37362	0.68541	1.8344800000000001	0.266	0.145
ANKRD11	gw14	somatosensory	msp	early	ipc	0.07201	0.43897	1.05752	2.40909	0.265	0.11
ANP32B	gw14	somatosensory	msp	early	ipc	0	0.6327	2.79889	4.42373	0.261	0.059
ANP32B	gw14	somatosensory	msp	early	rg	0	0.81224	4.95465	6.1	0.305	0.05
AP1G1	gw14	motor	msp	early	neuron	0.00142	0.48981	1.39487	2.84776	0.131	0.046
AP1S1	gw14	v1	v1	early	neuron	0.01671	0.26427	0.36926	1.3973	0.517	0.37
AP1S2	gw14	somatosensory	msp	early	ipc	0	0.84504	3.06126	3.62264	0.384	0.106
AP1S2	gw14	somatosensory	msp	early	rg	0	1.06052	11.44079	10.78788	0.356	0.033
AP1S2	gw14	somatosensory	msp	early	neuron	0	0.57913	2.39154	4.12955	0.223	0.054
AP2A2	gw14	somatosensory	msp	early	neuron	1.1e-4	0.28686	0.67908	2.3673	0.116	0.049
AP2B1	gw14	somatosensory	msp	early	neuron	0	0.32572	0.42531	1.30576	0.521	0.399
AP2B1	gw14	somatosensory	msp	early	rg	0.01578	0.33378	0.53882	1.61429	0.452	0.28
APP	gw14	somatosensory	msp	early	neuron	0	0.39048	0.70975	1.81765	0.309	0.17
APP	gw14	somatosensory	msp	early	rg	3.8e-4	0.43391	1.55998	3.59515	0.151	0.042
ARC	gw14	somatosensory	msp	early	rg	0	1.23623	14.92301	12.07143	0.338	0.028
ARF4	gw14	motor	msp	early	neuron	0.00315	0.37802	0.46397	1.22738	0.529	0.431
ARF5	gw14	somatosensory	msp	early	ipc	2.7e-4	0.53747	1.27223	2.36709	0.374	0.158
ARF5	gw14	somatosensory	msp	early	neuron	0	0.70563	2.00417	2.84028	0.409	0.144
ARGLU1	gw14	somatosensory	msp	early	ipc	0.01908	0.50435	0.88262	1.75	0.455	0.26
ARGLU1	gw14	somatosensory	msp	early	neuron	0	0.34914	0.54493	1.56078	0.398	0.255
ARGLU1	gw14	somatosensory	msp	early	rg	0	0.58415	1.25288	2.1448	0.474	0.221
ARID1B	gw14	motor	msp	early	neuron	0	0.62727	1.82299	2.9062	0.186	0.064
ARL17B	gw14	v1	v1	early	neuron	1e-4	0.26429	0.5315	2.01109	0.181	0.09
ARL2BP	gw14	somatosensory	msp	early	neuron	0	0.56463	3.86536	6.84589	0.178	0.026
ARL2BP	gw14	somatosensory	msp	early	rg	2e-5	0.43224	1.81069	4.18908	0.155	0.037
ARL5A	gw14	somatosensory	msp	early	ipc	4e-5	0.61574	2.17174	3.52703	0.261	0.074
ARL5A	gw14	somatosensory	msp	early	neuron	0	0.36585	1.05612	2.88674	0.153	0.053
ARL5A	gw14	somatosensory	msp	early	rg	0	0.56421	1.93943	3.43745	0.22	0.064
ARL6IP1	gw14	v1	v1	early	ipc	8e-4	0.44131	0.58815	1.33272	0.729	0.547
ARL6IP6	gw14	v1	v1	early	rg	0.0025	0.36785	0.48683	1.32346	0.536	0.405
ARPC1A	gw14	v1	v1	early	rg	0.00374	0.39433	0.63684	1.615	0.323	0.2
ARPC2	gw14	somatosensory	msp	early	neuron	0	0.25374	0.33016	1.30118	0.553	0.425
ARPC5L	gw14	somatosensory	msp	early	neuron	0	0.38525	1.87591	4.86935	0.112	0.023
ARPP21	gw14	somatosensory	msp	early	neuron	0	0.79579	2.4056	3.0229	0.396	0.131
ARRDC3	gw14	v1	v1	early	neuron	0	0.33673	0.62535	1.85714	0.26	0.14
ASF1A	gw14	motor	msp	early	neuron	0.0201	0.39309	0.57987	1.47517	0.208	0.141
ATF3	gw14	somatosensory	msp	early	rg	5e-5	0.40214	3.38437	8.41597	0.101	0.012
ATP1B1	gw14	motor	msp	early	neuron	0.0229	0.45652	0.60079	1.31601	0.304	0.231
ATP1B3	gw14	somatosensory	msp	early	neuron	0	0.43609	1.11443	2.55552	0.207	0.081
ATP1B3	gw14	somatosensory	msp	early	rg	0	0.56263	3.87076	6.87972	0.172	0.025
ATP2B1	gw14	somatosensory	msp	early	neuron	0	0.34038	0.5875	1.72603	0.252	0.146
ATP5D	gw14	somatosensory	msp	early	ipc	0	0.85743	7.29915	8.51282	0.332	0.039
ATP5D	gw14	somatosensory	msp	early	neuron	0	0.96097	19.47573	20.26667	0.304	0.015
ATP5D	gw14	somatosensory	msp	early	rg	0	0.94869	31.78124	33.5	0.268	0.008
ATP5E	gw14	motor	msp	early	neuron	0.04054	0.25708	0.26723	1.03949	0.974	0.937
ATP5I	gw14	motor	msp	early	neuron	0	0.38999	0.43449	1.1141	0.869	0.78
ATP6V0B	gw14	v1	v1	early	neuron	0	0.25184	0.31912	1.26716	0.683	0.539
ATP6V1F	gw14	motor	msp	early	neuron	6.9e-4	0.28871	0.31963	1.10708	0.641	0.579
ATP6V1G1	gw14	v1	v1	early	rg	4.8e-4	0.28053	0.33928	1.20943	0.641	0.53
ATP6V1G1	gw14	v1	v1	early	neuron	1.4e-4	0.26159	0.3194	1.22101	0.674	0.552
ATP6V1G2	gw14	v1	v1	early	ipc	1.1e-4	0.61663	1.6906	2.74167	0.329	0.12
ATP6V1G2	gw14	v1	v1	early	neuron	0	0.39496	0.77918	1.97279	0.29	0.147
B3GALNT1	gw14	v1	v1	early	neuron	5.1e-4	0.28057	0.54463	1.94115	0.165	0.085
BAG1	gw14	somatosensory	msp	early	neuron	0	0.36351	3.08959	8.49929	0.102	0.012
BASP1	gw14	somatosensory	msp	early	ipc	0	0.53038	0.82963	1.56422	0.682	0.436
BASP1	gw14	somatosensory	msp	early	neuron	0	0.28436	0.37462	1.31742	0.552	0.419
BASP1	gw14	somatosensory	msp	early	rg	0.00914	0.36507	0.61198	1.67635	0.404	0.241
BAZ2B	gw14	somatosensory	msp	early	ipc	0.00849	0.48375	1.28195	2.65	0.265	0.1
BCAN	gw14	somatosensory	msp	early	rg	0	0.6084	1.43304	2.35542	0.391	0.166
BCL11B	gw14	motor	msp	early	neuron	0	0.7236	1.21039	1.67273	0.644	0.385
BCL7A	gw14	somatosensory	msp	early	neuron	0	0.70848	1.68915	2.38421	0.453	0.19
BCL7A	gw14	somatosensory	msp	early	rg	0	0.47179	1.93204	4.09514	0.172	0.042
BCYRN1	gw14	motor	msp	early	neuron	0	0.7729	1.81251	2.34507	0.333	0.142
BEX5	gw14	motor	msp	early	neuron	0	0.47563	0.75668	1.59091	0.49	0.308
BEX5	gw14	motor	msp	early	rg	3e-5	0.90507	3.40086	3.75758	0.372	0.099
BHLHE22	gw14	somatosensory	msp	early	ipc	0.00154	0.58485	1.60834	2.75	0.275	0.1
BHLHE22	gw14	somatosensory	msp	early	neuron	0	0.48621	1.08367	2.22881	0.263	0.118
BLOC1S1	gw14	v1	v1	early	neuron	0	0.55957	1.10022	1.96617	0.523	0.266
BLOC1S1	gw14	v1	v1	early	rg	0.03154	0.43049	0.56199	1.30546	0.406	0.311
BLOC1S6	gw14	somatosensory	msp	early	neuron	0.02758	0.26196	0.4366	1.66665	0.175	0.105
BNIP3	gw14	somatosensory	msp	early	neuron	0	0.27746	0.57804	2.0833	0.15	0.072
BNIP3L	gw14	v1	v1	early	neuron	0	0.3642	0.59515	1.63415	0.402	0.246
BRD9	gw14	somatosensory	msp	early	neuron	0	0.36976	1.19459	3.23069	0.126	0.039
BTG1	gw14	somatosensory	msp	early	ipc	0.00116	0.55774	1.35096	2.42222	0.327	0.135
BTG1	gw14	somatosensory	msp	early	rg	0	0.7028	2.52226	3.58889	0.323	0.09
BTG1	gw14	somatosensory	msp	early	neuron	0	0.28624	0.71265	2.48975	0.122	0.049
BTG3	gw14	somatosensory	msp	early	rg	0	0.86037	3.97661	4.62195	0.379	0.082
BTG3	gw14	somatosensory	msp	early	ipc	0.01353	0.58766	2.59333	4.41295	0.203	0.046
C14orf37	gw14	somatosensory	msp	early	neuron	0	0.36149	1.31034	3.62489	0.116	0.032
C16orf13	gw14	somatosensory	msp	early	ipc	0.00673	0.41538	1.03164	2.48361	0.303	0.122
C16orf13	gw14	somatosensory	msp	early	neuron	0	0.4994	1.32841	2.66	0.266	0.1
C16orf13	gw14	somatosensory	msp	early	rg	0	0.67145	3.38409	5.04	0.252	0.05
C17orf89	gw14	somatosensory	msp	early	ipc	0.001	0.552	20.60112	37.32089	0.112	0.003
C17orf89	gw14	somatosensory	msp	early	neuron	0	0.45535	10.01579	21.9956	0.11	0.005
C17orf89	gw14	somatosensory	msp	early	rg	0	0.64978	98766.18489	152000	0.152	0
C19orf43	gw14	somatosensory	msp	early	neuron	0	0.4382	1.45571	3.32198	0.196	0.059
C19orf60	gw14	somatosensory	msp	early	neuron	0	0.61497	3.0748	4.99989	0.23	0.046
C19orf60	gw14	somatosensory	msp	early	rg	0	0.6287	4.62703	7.35971	0.184	0.025
C1orf35	gw14	somatosensory	msp	early	neuron	0	0.36413	1.87256	5.14261	0.108	0.021
C1orf35	gw14	somatosensory	msp	early	rg	0	0.58554	6.32339	10.79928	0.162	0.015
C1orf56	gw14	motor	msp	early	neuron	0	0.92747	4.42734	4.77358	0.253	0.053
C1QBP	gw14	somatosensory	msp	early	ipc	0	0.76913	5.13274	6.67347	0.327	0.049
C1QBP	gw14	somatosensory	msp	early	neuron	0	1.08118	14.51873	13.42857	0.376	0.028
C1QBP	gw14	somatosensory	msp	early	rg	0	0.92756	22.34568	24.09091	0.265	0.011
C4orf48	gw14	somatosensory	msp	early	ipc	0	1.89861	89.37029	47.07143	0.659	0.014
C4orf48	gw14	somatosensory	msp	early	neuron	0	2.06605	79.33647	38.4	0.768	0.02
C4orf48	gw14	somatosensory	msp	early	rg	0	1.26486	39.59995	31.30769	0.407	0.013
C5orf24	gw14	somatosensory	msp	early	ipc	0.00586	0.48056	1.1577	2.40909	0.318	0.132
C5orf24	gw14	somatosensory	msp	early	neuron	0	0.59422	1.79557	3.02174	0.278	0.092
CACNG3	gw14	v1	v1	early	neuron	2e-5	0.31425	0.7433	2.36534	0.123	0.052
CADM2	gw14	somatosensory	msp	early	neuron	0	0.37824	0.87422	2.3113	0.245	0.106
CALD1	gw14	somatosensory	msp	early	ipc	0.01186	0.52911	1.0183	1.92453	0.408	0.212
CALD1	gw14	somatosensory	msp	early	rg	0	0.4903	0.82133	1.67514	0.593	0.354
CALM1	gw14	somatosensory	msp	early	neuron	0	0.4311	0.48123	1.11631	0.931	0.834
CALM2	gw14	v1	v1	early	ipc	0	0.31415	0.31861	1.0142	1	0.986
CAMK2G	gw14	somatosensory	msp	early	neuron	3e-4	0.28017	0.65371	2.33328	0.105	0.045
CAMK2N1	gw14	motor	msp	early	neuron	0	0.46536	0.71279	1.53171	0.314	0.205
CAPZA2	gw14	motor	msp	early	neuron	0.00937	0.29249000000000003	0.31521	1.0777	0.638	0.592
CARHSP1	gw14	v1	v1	early	rg	2e-5	0.30696	0.34646	1.12867	0.807	0.715
CBX1	gw14	somatosensory	msp	early	neuron	0	0.338	0.48301	1.42902	0.453	0.317
CBX3	gw14	motor	msp	early	neuron	0	0.54857	0.69826	1.27288	0.737	0.579
CBX6	gw14	motor	msp	early	neuron	0.00149	0.40624	1.26824	3.12188	0.128	0.041
CCDC107	gw14	somatosensory	msp	early	neuron	0	0.29646	0.56909	1.91963	0.215	0.112
CCDC112	gw14	somatosensory	msp	early	neuron	0	0.55443	1.34231	2.42105	0.322	0.133
CCDC184	gw14	somatosensory	msp	early	neuron	2.3e-4	0.26321	0.71616	2.72087	0.117	0.043
CCDC85B	gw14	somatosensory	msp	early	neuron	0	0.44698	16.08592	35.988	0.108	0.003
CCNI	gw14	somatosensory	msp	early	ipc	0	0.7813	1.21661	1.55717	0.858	0.551
CCNI	gw14	somatosensory	msp	early	neuron	0	0.96845	1.71251	1.76829	0.87	0.492
CCNI	gw14	somatosensory	msp	early	rg	0	0.91547	2.89983	3.1676	0.567	0.179
CCSER2	gw14	somatosensory	msp	early	neuron	0	0.29325	0.99702	3.39989	0.102	0.03
CD164	gw14	v1	v1	early	rg	1.6e-4	0.49898	0.96127	1.92647	0.262	0.136
CDC42	gw14	motor	msp	early	neuron	0	0.38217	0.42736	1.11823	0.785	0.702
CDC42	gw14	v1	v1	early	neuron	0	0.29317	0.33632	1.14719	0.795	0.693
CDC42	gw14	motor	msp	early	rg	3e-5	0.89707	1.64795	1.83704	0.744	0.405
CDC42EP3	gw14	somatosensory	msp	early	ipc	0.03515	0.367	0.97996	2.67021	0.251	0.094
CDC42SE1	gw14	motor	msp	early	neuron	0	0.65191	2.15031	3.29846	0.221	0.067
CDC42SE1	gw14	v1	v1	early	neuron	0.02053	0.2554	0.50703	1.98526	0.135	0.068
CDH6	gw14	motor	msp	early	ipc	0	0.68052	4.00581	5.88636	0.259	0.044
CDH6	gw14	motor	msp	early	neuron	0	0.74177	4.19673	5.65775	0.215	0.038
CDK5RAP3	gw14	v1	v1	early	neuron	0.0061	0.26017	0.40471	1.55555	0.252	0.162
CDO1	gw14	v1	v1	early	rg	0.0319	0.30617	0.36956	1.20704	0.583	0.483
CFAP97	gw14	somatosensory	msp	early	neuron	0	0.30734	0.96244	3.1315	0.119	0.038
CFAP97	gw14	somatosensory	msp	early	rg	0.01347	0.28218	0.91707	3.24992	0.13	0.04
CFL2	gw14	motor	msp	early	neuron	0.05573	0.43801	0.66243	1.51238	0.183	0.121
CHD6	gw14	somatosensory	msp	early	rg	0.01513	0.38229	1.26154	3.29992	0.132	0.04
CHD9	gw14	somatosensory	msp	early	rg	0.003	0.35212	0.57563	1.63475	0.461	0.282
CHGA	gw14	somatosensory	msp	early	neuron	0	0.37875	2.04862	5.40885	0.119	0.022
CIRBP	gw14	v1	v1	early	ipc	0.09146	0.29803	0.33692	1.13049	0.875	0.774
CKB	gw14	somatosensory	msp	early	ipc	0	0.94736	1.96377	2.07289	0.711	0.343
CKB	gw14	somatosensory	msp	early	neuron	0	1.13935	2.87534	2.52366	0.8	0.317
CKB	gw14	somatosensory	msp	early	rg	0	1.78643	6.45917	3.61569	0.922	0.255
CKLF	gw14	v1	v1	early	rg	1.7e-4	0.41751	0.61424	1.47119	0.434	0.295
CLEC11A	gw14	somatosensory	msp	early	rg	0.02828	0.28417	0.93697	3.29721	0.122	0.037
CLTA	gw14	somatosensory	msp	early	ipc	0	0.88002	5.0635	5.75385	0.374	0.065
CLTA	gw14	somatosensory	msp	early	neuron	0	1.05281	7.7986	7.40741	0.4	0.054
CLTA	gw14	somatosensory	msp	early	rg	0	0.91271	7.63793	8.36842	0.318	0.038
CNOT7	gw14	motor	msp	early	neuron	3e-5	0.494	0.70776	1.43273	0.394	0.275
COA3	gw14	v1	v1	early	neuron	0	0.39573	0.66575	1.68231	0.466	0.277
COCH	gw14	motor	msp	early	neuron	5e-4	0.40733	1.0833	2.65952	0.125	0.047
COMMD6	gw14	motor	msp	early	neuron	0	0.28674	0.31185	1.08755	0.795	0.731
COMMD7	gw14	somatosensory	msp	early	neuron	0	0.35761	0.98033	2.74133	0.159	0.058
COMTD1	gw14	somatosensory	msp	early	neuron	0	0.45432	9.90224	21.79564	0.109	0.005
COX4I1	gw14	somatosensory	msp	early	neuron	0	0.31414	0.3812	1.21348	0.756	0.623
COX5A	gw14	somatosensory	msp	early	ipc	0	0.97997	5.41317	5.52381	0.464	0.084
COX5A	gw14	somatosensory	msp	early	neuron	0	1.26081	8.34902	6.62195	0.543	0.082
COX5A	gw14	somatosensory	msp	early	rg	0	1.07562	9.83065	9.13953	0.393	0.043
COX6A1	gw14	v1	v1	early	rg	0	0.35025	0.4277	1.22112	0.74	0.606
COX6B1	gw14	motor	msp	early	neuron	0.00503	0.27351	0.29401	1.07496	0.76	0.707
CPNE3	gw14	somatosensory	msp	early	rg	0	0.50381	1.28541	2.5514	0.273	0.107
CRIP2	gw14	v1	v1	early	neuron	1.1e-4	0.26266	0.39336	1.49761	0.313	0.209
CRIP2	gw14	v1	v1	early	ipc	0.00773	0.5292	1.27976	2.41828	0.37	0.153
CRMP1	gw14	somatosensory	msp	early	neuron	0	0.47988	0.82706	1.72348	0.455	0.264
CRMP1	gw14	somatosensory	msp	early	rg	0.00259	0.334	0.9896	2.96291	0.16	0.054
CSDE1	gw14	motor	msp	early	neuron	2.2e-4	0.39859	0.51059	1.28099	0.465	0.363
CSRP2	gw14	motor	msp	early	ipc	0.00117	0.77537	1.15709	1.49231	0.776	0.52
CSRP2	gw14	motor	msp	early	neuron	0.03155	0.39662	0.40015	1.00892	0.679	0.673
CST3	gw14	somatosensory	msp	early	ipc	2e-5	0.52307	1.94385	3.71622	0.275	0.074
CST3	gw14	somatosensory	msp	early	rg	0	0.97787	3.07213	3.14167	0.377	0.12
CST3	gw14	somatosensory	msp	early	neuron	0	0.48755	2.46636	5.05867	0.172	0.034
CTNNB1	gw14	motor	msp	early	neuron	0	1.21728	4.30029	3.53271	0.378	0.107
CTNNB1	gw14	motor	msp	early	rg	0	1.6147	3.66434	2.26936	0.674	0.297
CTNNB1	gw14	v1	v1	early	neuron	0.00214	0.32191	0.58346	1.81248	0.203	0.112
CTTNBP2	gw14	somatosensory	msp	early	neuron	4e-5	0.28564	0.43572	1.52542	0.27	0.177
CYC1	gw14	somatosensory	msp	early	ipc	0	0.77289	9.7115	12.56522	0.289	0.023
CYC1	gw14	somatosensory	msp	early	neuron	0	0.82046	12.66508	15.43654	0.247	0.016
CYC1	gw14	somatosensory	msp	early	rg	0	0.71714	12.19037	16.99858	0.204	0.012
CYR61	gw14	somatosensory	msp	early	rg	0	1.72331	11.01102	6.38947	0.607	0.095
DAAM1	gw14	motor	msp	early	neuron	0.08489	0.39056	0.51022	1.30639	0.388	0.297
DAP	gw14	somatosensory	msp	early	neuron	0	0.35998	1.24246	3.4515	0.107	0.031
DCAKD	gw14	motor	msp	early	neuron	0.09902	0.44114	0.76323	1.73013	0.109	0.063
DCX	gw14	motor	msp	early	neuron	0	0.40533	0.48533	1.19737	0.728	0.608
DDX3X	gw14	motor	msp	early	rg	0.08863	0.69187	1.81251	2.61972	0.372	0.142
DDX46	gw14	somatosensory	msp	early	neuron	0.00131	0.27487	0.41165	1.49763	0.316	0.211
DDX46	gw14	somatosensory	msp	early	rg	0.00677	0.34996	0.61567	1.75926	0.38	0.216
DEK	gw14	somatosensory	msp	early	rg	0	0.72788	1.55011	2.12963	0.575	0.27
DEK	gw14	somatosensory	msp	early	neuron	0	0.40067	0.81144	2.02519	0.241	0.119
DKK3	gw14	somatosensory	msp	early	rg	1e-5	0.33317	1.53251	4.59985	0.138	0.03
DNAJB11	gw14	motor	msp	early	neuron	0.00319	0.38871	0.51827	1.33333	0.288	0.216
DNMT1	gw14	somatosensory	msp	early	neuron	0.06063	0.25196	0.49172	1.95158	0.121	0.062
DNMT3A	gw14	motor	msp	early	neuron	0	0.55842	2.05655	3.68284	0.151	0.041
DSEL	gw14	motor	msp	early	neuron	0	0.6399	1.38173	2.15927	0.244	0.113
DTD1	gw14	somatosensory	msp	early	ipc	0.04509	0.43904	1.102	2.51	0.251	0.1
DTD1	gw14	somatosensory	msp	early	neuron	0	0.47758	1.49592	3.13231	0.213	0.068
DUT	gw14	somatosensory	msp	early	ipc	0	0.61654	3.142	5.09615	0.265	0.052
DUT	gw14	somatosensory	msp	early	rg	0	1.10645	4.47727	4.04651	0.522	0.129
DUT	gw14	somatosensory	msp	early	neuron	0	0.52235	2.04009	3.90559	0.207	0.053
DYNC1I1	gw14	somatosensory	msp	early	neuron	0	0.72302	3.13681	4.33846	0.282	0.065
DYNLL1	gw14	v1	v1	early	ipc	0	0.37246	0.39579	1.06264	0.933	0.878
DYNLL1	gw14	v1	v1	early	neuron	0	0.26651	0.27554	1.0339	0.976	0.944
EEF1A1	gw14	somatosensory	msp	early	rg	0	0.26905	0.27096	1.0071	0.993	0.986
EEF2	gw14	v1	v1	early	ipc	0	0.40421	0.43737	1.08205	0.91	0.841
EEF2	gw14	v1	v1	early	neuron	0	0.28904	0.31771	1.09916	0.92	0.837
EFNA5	gw14	motor	msp	early	neuron	3.2e-4	0.49877	1.00219	2.00933	0.215	0.107
EIF1	gw14	v1	v1	early	rg	0.00503	0.29724	0.30901	1.0396	0.945	0.909
EIF2S3	gw14	motor	msp	early	neuron	0.042659999999999997	0.41795	0.57285	1.37062	0.196	0.143
EIF3E	gw14	v1	v1	early	neuron	0	0.251	0.27473	1.09456	0.926	0.846
EIF3F	gw14	somatosensory	msp	early	ipc	0	0.83494	2.45198	2.93671	0.464	0.158
EIF3F	gw14	somatosensory	msp	early	neuron	0	0.56823	1.43467	2.52482	0.356	0.141
EIF3F	gw14	somatosensory	msp	early	rg	0	0.93153	4.47134	4.8	0.432	0.09
EIF4A1	gw14	v1	v1	early	ipc	0.00954	0.33426	0.38842	1.16205	0.839	0.722
EIF4A2	gw14	v1	v1	early	ipc	1.9e-4	0.41061	0.48119	1.1719	0.859	0.733
EIF4A3	gw14	somatosensory	msp	early	rg	0	0.54697	6.38082	11.66569	0.14	0.012
EIF4E	gw14	motor	msp	early	neuron	0.02821	0.25661	0.2956	1.15195	0.561	0.487
EIF4EBP1	gw14	motor	msp	early	neuron	0.02612	0.4208	0.52559	1.24902	0.321	0.257
EIF4G2	gw14	motor	msp	early	neuron	0	0.4659	0.59414	1.27525	0.644	0.505
EIF4G2	gw14	v1	v1	early	neuron	0	0.39052	0.5588	1.43093	0.694	0.485
EIF4G2	gw14	v1	v1	early	rg	0	0.44863	0.6301	1.40449	0.5	0.356
EIF5A	gw14	motor	msp	early	neuron	0	0.65163	1.49034	2.28711	0.231	0.101
ELAVL2	gw14	motor	msp	early	neuron	3e-5	0.51834	0.79553	1.53478	0.353	0.23
ELMOD1	gw14	somatosensory	msp	early	neuron	0.00126	0.27207	0.53614	1.97056	0.134	0.068
EMX2	gw14	v1	v1	early	rg	6e-5	0.30236	0.34402	1.13778	0.801	0.704
ENAH	gw14	motor	msp	early	neuron	0	0.51036	0.95804	1.87719	0.321	0.171
ENC1	gw14	motor	msp	early	neuron	0	0.55179	0.87705	1.58944	0.542	0.341
ENOPH1	gw14	somatosensory	msp	early	neuron	0	0.41982	1.36239	3.24522	0.172	0.053
ENOPH1	gw14	somatosensory	msp	early	rg	0	0.48667	3.25084	6.67973	0.167	0.025
EPHB6	gw14	somatosensory	msp	early	ipc	0	0.7799	3.21957	4.12821	0.322	0.078
EPN2	gw14	somatosensory	msp	early	neuron	0	0.44794	2.49046	5.55978	0.139	0.025
ERICH1	gw14	somatosensory	msp	early	neuron	0.02616	0.25338	0.43471	1.71567	0.175	0.102
ETNK1	gw14	motor	msp	early	ipc	0.01148	0.6389	1.78047	2.78676	0.379	0.136
EWSR1	gw14	v1	v1	early	neuron	0.00503	0.29303	0.42916	1.46457	0.372	0.254
EXOC5	gw14	motor	msp	early	neuron	2.5e-4	0.50231	0.97477	1.94057	0.196	0.101
EXOSC8	gw14	v1	v1	early	rg	0	0.50142	0.83086	1.65702	0.401	0.242
FABP5	gw14	v1	v1	early	rg	0	0.26147	0.26335	1.00721	0.978	0.971
FAM171B	gw14	v1	v1	early	neuron	0	0.3421	0.79823	2.3333	0.189	0.081
FAM177A1	gw14	somatosensory	msp	early	neuron	0	0.39604	0.84865	2.14284	0.21	0.098
FAM49A	gw14	v1	v1	early	neuron	0.01064	0.26524	0.39125	1.47511	0.326	0.221
FBXL15	gw14	somatosensory	msp	early	neuron	0	0.39425	3.87049	9.81729	0.108	0.011
FBXO32	gw14	somatosensory	msp	early	rg	0	0.82355	4.20172	5.10194	0.25	0.049
FBXO7	gw14	somatosensory	msp	early	rg	9e-5	0.36894	2.58238	6.99953	0.105	0.015
FDPS	gw14	v1	v1	early	rg	0	0.37641	0.5239	1.39184	0.682	0.49
FEZ1	gw14	somatosensory	msp	early	neuron	0	0.52979	0.9049	1.70803	0.468	0.274
FEZ2	gw14	somatosensory	msp	early	rg	0.00896	0.28333	0.9795	3.45704	0.121	0.035
FGF12	gw14	v1	v1	early	neuron	0	0.34855	0.60723	1.74214	0.277	0.159
FGFBP3	gw14	somatosensory	msp	early	rg	0	0.65512	2.56002	3.90769	0.254	0.065
FHL1	gw14	somatosensory	msp	early	neuron	1.5e-4	0.34714	0.8389	2.41662	0.116	0.048
FHL1	gw14	somatosensory	msp	early	rg	0	0.56817	3.16269	5.56648	0.167	0.03
FKBP4	gw14	somatosensory	msp	early	rg	0	0.53925	7.44086	13.79862	0.138	0.01
FLRT2	gw14	v1	v1	early	neuron	0.01073	0.25306	0.58727	2.32071	0.123	0.053
FOS	gw14	somatosensory	msp	early	rg	0.00377	0.38414	0.39872	1.03793	0.903	0.87
FSCN1	gw14	somatosensory	msp	early	ipc	0	0.66765	1.86612	2.79508	0.341	0.122
FSCN1	gw14	somatosensory	msp	early	neuron	0	0.47464	1.13144	2.38381	0.236	0.099
