Species	Symbol	Ensembl	Family	Entrez ID
Homo_sapiens	TARBP1	ENSG00000059588	Others	6894
Homo_sapiens	CTDP1	ENSG00000060069	Others	9150
Homo_sapiens	CCAR1	ENSG00000060339	Others	55749
Homo_sapiens	HDAC7	ENSG00000061273	Histone deacetylase	51564
Homo_sapiens	LZTS1	ENSG00000061337	Others	11178
Homo_sapiens	SFSWAP	ENSG00000061936	Others	6433
Homo_sapiens	MED29	ENSG00000063322	Mediator complex	55588
Homo_sapiens	RNF4	ENSG00000063978	Ring finger protein	6047
Homo_sapiens	TAF2	ENSG00000064313	TATA-box	6873
Homo_sapiens	HIPK2	ENSG00000064393	HIPK	28996
Homo_sapiens	EYA2	ENSG00000064655	EYA	2139
Homo_sapiens	DDX20	ENSG00000064703	RNA helicase	11218
Homo_sapiens	TAF11	ENSG00000064995	TATA-box	6882
Homo_sapiens	SPEN	ENSG00000065526	Others	23013
Homo_sapiens	TLE2	ENSG00000065717	Transducin	7089
Homo_sapiens	CDK13	ENSG00000065883	Cyclin	8621
Homo_sapiens	SMARCD1	ENSG00000066117	SWI/SNF	6602
Homo_sapiens	KDM4A	ENSG00000066135	Lysine demethylase	9682
Homo_sapiens	FGFR2	ENSG00000066468	FGF	2263
Homo_sapiens	DNTTIP2	ENSG00000067334	Others	30836
Homo_sapiens	TP53BP1	ENSG00000067369	Others	7158
Homo_sapiens	RHOA	ENSG00000067560	Others	387
Homo_sapiens	HYAL2	ENSG00000068001	Others	8692
Homo_sapiens	HDAC4	ENSG00000068024	Histone deacetylase	9759
Homo_sapiens	SIRT2	ENSG00000068903	Sirtuin	22933
Homo_sapiens	BCL3	ENSG00000069399	BCL	602
Homo_sapiens	ELP1	ENSG00000070061	ELP	8518
Homo_sapiens	JMJD6	ENSG00000070495	Others	23210
Homo_sapiens	CSNK2A2	ENSG00000070770	Casein	1459
Homo_sapiens	CAMK2A	ENSG00000070808	CAMK	815
Homo_sapiens	ING3	ENSG00000071243	ING	54556
Homo_sapiens	LMCD1	ENSG00000071282	LIM	29995
Homo_sapiens	TRIP13	ENSG00000071539	Thyroid hormone receptor	9319
Homo_sapiens	HLTF	ENSG00000071794	Others	6596
Homo_sapiens	ACTN1	ENSG00000072110	Actin	87
Homo_sapiens	FBXW11	ENSG00000072803	Others	23291
Homo_sapiens	KDM5A	ENSG00000073614	Lysine demethylase	5927
Homo_sapiens	PICALM	ENSG00000073921	Others	8301
Homo_sapiens	NOTCH3	ENSG00000074181	Notch	4854
Homo_sapiens	EED	ENSG00000074266	Others	8726
Homo_sapiens	TSG101	ENSG00000074319	Others	7251
Homo_sapiens	ENO1	ENSG00000074800	Others	2023
Homo_sapiens	ACTR6	ENSG00000075089	ACTR	64431
Homo_sapiens	ZNF638	ENSG00000075292	Zinc finger	27332
Homo_sapiens	ACTB	ENSG00000075624	Actin	60
Homo_sapiens	ACTL6B	ENSG00000077080	Actin	51412
Homo_sapiens	SIRT6	ENSG00000077463	Sirtuin	51548
Homo_sapiens	ACTN2	ENSG00000077522	Actin	88
Homo_sapiens	JADE1	ENSG00000077684	Others	79960
Homo_sapiens	FGFR1	ENSG00000077782	FGF	2260
Homo_sapiens	CBFA2T2	ENSG00000078699	Others	9139
Homo_sapiens	ITCH	ENSG00000078747	Others	83737
Homo_sapiens	RUNX1T1	ENSG00000079102	Others	862
Homo_sapiens	SENP1	ENSG00000079387	Others	29843
Homo_sapiens	DDX1	ENSG00000079785	RNA helicase	1653
Homo_sapiens	SMARCA2	ENSG00000080503	SWI/SNF	6595
Homo_sapiens	SRCAP	ENSG00000080603	Others	10847
Homo_sapiens	PSEN1	ENSG00000080815	Others	5663
Homo_sapiens	RBL1	ENSG00000080839	Other_Co-activator/repressors	5933
Homo_sapiens	SMARCD3	ENSG00000082014	SWI/SNF	6604
Homo_sapiens	CCNT2	ENSG00000082258	Cyclin	905
Homo_sapiens	GSK3B	ENSG00000082701	Others	2932
Homo_sapiens	KAT6A	ENSG00000083168	Lysine acetyltransferase	7994
Homo_sapiens	TDRD3	ENSG00000083544	Others	81550
Homo_sapiens	PPIE	ENSG00000084072	Others	10450
Homo_sapiens	ATRX	ENSG00000085224	Others	546
Homo_sapiens	RRN3	ENSG00000085721	Others	54700
Homo_sapiens	TXLNG	ENSG00000086712	Others	55787
Homo_sapiens	TRIP6	ENSG00000087077	Thyroid hormone receptor	7205
Homo_sapiens	NLK	ENSG00000087095	Others	51701
Homo_sapiens	ATXN7L3	ENSG00000087152	Others	56970
Homo_sapiens	PIR	ENSG00000087842	Others	8544
Homo_sapiens	CNOT3	ENSG00000088038	CCR4-NOT	4849
Homo_sapiens	DNMT3B	ENSG00000088305	DNA_methylase	1789
Homo_sapiens	XRN2	ENSG00000088930	Others	22803
Homo_sapiens	TESC	ENSG00000088992	Others	54997
Homo_sapiens	ESF1	ENSG00000089048	Others	51575
Homo_sapiens	KDM2B	ENSG00000089094	Lysine demethylase	84678
Homo_sapiens	FUS	ENSG00000089280	Others	2521
Homo_sapiens	BIRC5	ENSG00000089685	Others	332
Homo_sapiens	CCNK	ENSG00000090061	Cyclin	8812
Homo_sapiens	SLC26A3	ENSG00000091138	SLC	1811
Homo_sapiens	HNRNPC	ENSG00000092199	HNRNP	3183
Homo_sapiens	SUPT16H	ENSG00000092201	SUPT	11198
Homo_sapiens	TBL1Y	ENSG00000092377	Transducin	90665
Homo_sapiens	EZR	ENSG00000092820	Others	7430
Homo_sapiens	AGO1	ENSG00000092847	Others	26523
Homo_sapiens	HDAC6	ENSG00000094631	Histone deacetylase	10013
Homo_sapiens	CBX5	ENSG00000094916	Chromobox	23468
Homo_sapiens	BTAF1	ENSG00000095564	Others	9044
Homo_sapiens	WAC	ENSG00000095787	WW	51322
Homo_sapiens	SIRT1	ENSG00000096717	Sirtuin	23411
Homo_sapiens	JAK2	ENSG00000096968	Others	3717
Homo_sapiens	ABL1	ENSG00000097007	Others	25
Homo_sapiens	H2AFY2	ENSG00000099284	Others	55506
Homo_sapiens	SETD1A	ENSG00000099381	SET	9739
Homo_sapiens	MED15	ENSG00000099917	Mediator complex	51586
Homo_sapiens	CECR2	ENSG00000099954	Other_CRF	27443
Homo_sapiens	SMARCB1	ENSG00000099956	SWI/SNF	6598
Homo_sapiens	HIRA	ENSG00000100084	Others	7290
Homo_sapiens	DDX17	ENSG00000100201	RNA helicase	10521
Homo_sapiens	TCF20	ENSG00000100207	Others	6942
Homo_sapiens	HMOX1	ENSG00000100292	Others	3162
Homo_sapiens	THOC5	ENSG00000100296	Others	8563
Homo_sapiens	CBX7	ENSG00000100307	Chromobox	23492
Homo_sapiens	RBFOX2	ENSG00000100320	Others	23543
Homo_sapiens	TAB1	ENSG00000100324	Others	10454
Homo_sapiens	ASCC2	ENSG00000100325	ASCC	84164
Homo_sapiens	RBX1	ENSG00000100387	Others	9978
Homo_sapiens	EP300	ENSG00000100393	Others	2033
Homo_sapiens	L3MBTL2	ENSG00000100395	Others	83746
Homo_sapiens	PHF5A	ENSG00000100410	PHF	84844
Homo_sapiens	BRD1	ENSG00000100425	Bromodomain	23774
Homo_sapiens	HDAC10	ENSG00000100429	Histone deacetylase	83933
Homo_sapiens	PRMT5	ENSG00000100462	Arginine methyltransferase	10419
Homo_sapiens	SNW1	ENSG00000100603	Others	22938
Homo_sapiens	TRIP11	ENSG00000100815	Thyroid hormone receptor	9321
Homo_sapiens	APEX1	ENSG00000100823	Others	328
Homo_sapiens	ARHGAP5	ENSG00000100852	Others	394
Homo_sapiens	CHD8	ENSG00000100888	CHD	57680
Homo_sapiens	NFKBIA	ENSG00000100906	NFKB associated	4792
Homo_sapiens	BRMS1L	ENSG00000100916	Other_CRF	84312
Homo_sapiens	ZMYND8	ENSG00000101040	Zinc finger	23613
Homo_sapiens	PABPC1L	ENSG00000101104	Other_CRF	80336
Homo_sapiens	NELFCD	ENSG00000101158	GTF	51497
Homo_sapiens	PRPF6	ENSG00000101161	Others	24148
Homo_sapiens	MRGBP	ENSG00000101189	Others	55257
Homo_sapiens	TRIB3	ENSG00000101255	Others	57761
Homo_sapiens	CSNK2A1	ENSG00000101266	Casein	1457
Homo_sapiens	HCK	ENSG00000101336	Others	3055
Homo_sapiens	RPRD1B	ENSG00000101413	Others	58490
Homo_sapiens	ACTR5	ENSG00000101442	ACTR	79913
Homo_sapiens	LPIN2	ENSG00000101577	LPIN	9663
Homo_sapiens	RBBP8	ENSG00000101773	RBBP	5932
Homo_sapiens	TBL1X	ENSG00000101849	Transducin	6907
Homo_sapiens	NKAP	ENSG00000101882	NFKB associated	79576
Homo_sapiens	SUV39H1	ENSG00000101945	Others	6839
Homo_sapiens	XIAP	ENSG00000101966	Others	331
Homo_sapiens	RBBP7	ENSG00000102054	RBBP	5931
Homo_sapiens	PQBP1	ENSG00000102103	Others	10084
Homo_sapiens	HTATSF1	ENSG00000102241	Others	27336
Homo_sapiens	VGLL1	ENSG00000102243	Vestigial like	51442
Homo_sapiens	TAF7L	ENSG00000102387	TATA-box	54457
Homo_sapiens	SUPT20H	ENSG00000102710	SUPT	55578
Homo_sapiens	RGCC	ENSG00000102760	Others	28984
Homo_sapiens	TRADD	ENSG00000102871	Others	8717
Homo_sapiens	ARL2BP	ENSG00000102931	Others	23568
Homo_sapiens	SETD6	ENSG00000103037	SET	79918
Homo_sapiens	AXIN1	ENSG00000103126	Others	8312
Homo_sapiens	TAF1C	ENSG00000103168	TATA-box	9013
Homo_sapiens	CRYM	ENSG00000103316	Others	1428
Homo_sapiens	ELOB	ENSG00000103363	Others	6923
Homo_sapiens	DNAJA3	ENSG00000103423	Others	9093
Homo_sapiens	RBL2	ENSG00000103479	Other_Co-activator/repressors	5934
Homo_sapiens	PYCARD	ENSG00000103490	Others	29108
Homo_sapiens	KAT8	ENSG00000103510	Lysine acetyltransferase	84148
Homo_sapiens	TRIP4	ENSG00000103671	Thyroid hormone receptor	9325
Homo_sapiens	BRF2	ENSG00000104221	GTF	55290
Homo_sapiens	EYA1	ENSG00000104313	EYA	2138
Homo_sapiens	IKBKB	ENSG00000104365	Others	3551
Homo_sapiens	STK3	ENSG00000104375	Others	6788
Homo_sapiens	CHRAC1	ENSG00000104472	Other_CRF	54108
Homo_sapiens	NFKBIB	ENSG00000104825	NFKB associated	4793
Homo_sapiens	PIH1D1	ENSG00000104872	Other_CRF	55011
Homo_sapiens	ERCC2	ENSG00000104884	Others	2068
Homo_sapiens	DOT1L	ENSG00000104885	Others	84444
Homo_sapiens	AES	ENSG00000104964	Others	166
Homo_sapiens	MED25	ENSG00000104973	Mediator complex	81857
Homo_sapiens	SNAPC2	ENSG00000104976	Others	6618
Homo_sapiens	ASF1B	ENSG00000105011	Others	55723
Homo_sapiens	MED26	ENSG00000105085	Mediator complex	9441
Homo_sapiens	CCNE1	ENSG00000105173	Cyclin	898
Homo_sapiens	URI1	ENSG00000105176	Others	8725
Homo_sapiens	DYRK1B	ENSG00000105204	Others	9149
Homo_sapiens	TGFB1	ENSG00000105329	Others	7040
Homo_sapiens	MIER2	ENSG00000105556	MIER	54531
Homo_sapiens	PIK3R2	ENSG00000105647	Others	5296
Homo_sapiens	ELL	ENSG00000105656	GTF	8178
Homo_sapiens	CRTC1	ENSG00000105662	CREB	23373
Homo_sapiens	MTPN	ENSG00000105887	Others	136319
Homo_sapiens	CHCHD2	ENSG00000106153	Coiled-coil	51142
Homo_sapiens	BUD31	ENSG00000106245	Others	8896
Homo_sapiens	TAF6	ENSG00000106290	TATA-box	6878
Homo_sapiens	EZH2	ENSG00000106462	Others	2146
Homo_sapiens	SFRP4	ENSG00000106483	Others	6424
Homo_sapiens	CHCHD3	ENSG00000106554	Coiled-coil	54927
Homo_sapiens	AEBP1	ENSG00000106624	Others	165
Homo_sapiens	TLE4	ENSG00000106829	Transducin	7091
Homo_sapiens	ENG	ENSG00000106991	Others	2022
Homo_sapiens	KDM4C	ENSG00000107077	Lysine demethylase	23081
Homo_sapiens	KANK1	ENSG00000107104	Others	23189
Homo_sapiens	EDF1	ENSG00000107223	Others	8721
Homo_sapiens	PDLIM1	ENSG00000107438	Others	9124
Homo_sapiens	NPM3	ENSG00000107833	Nucleoplasmin	10360
Homo_sapiens	SUFU	ENSG00000107882	Others	51684
Homo_sapiens	EDRF1	ENSG00000107938	Others	26098
Homo_sapiens	TRIM37	ENSG00000108395	Tripartite motif	4591
Homo_sapiens	CDK5RAP3	ENSG00000108465	Cyclin	80279
Homo_sapiens	RECQL5	ENSG00000108469	Others	9400
Homo_sapiens	MED13	ENSG00000108510	Mediator complex	9969
Homo_sapiens	RASD1	ENSG00000108551	Others	51655
Homo_sapiens	RAI1	ENSG00000108557	Others	10743
Homo_sapiens	C1QBP	ENSG00000108561	Others	708
Homo_sapiens	MED31	ENSG00000108590	Mediator complex	51003
Homo_sapiens	SMARCD2	ENSG00000108604	SWI/SNF	6603
Homo_sapiens	DDX5	ENSG00000108654	RNA helicase	1655
Homo_sapiens	KAT2A	ENSG00000108773	Lysine acetyltransferase	2648
Homo_sapiens	EZH1	ENSG00000108799	Others	2145
Homo_sapiens	HDAC5	ENSG00000108840	Histone deacetylase	10014
Homo_sapiens	SMURF2	ENSG00000108854	Others	64750
Homo_sapiens	SUPT6H	ENSG00000109111	SUPT	6830
Homo_sapiens	PHF12	ENSG00000109118	PHF	57649
Homo_sapiens	FBXW7	ENSG00000109670	Others	55294
Homo_sapiens	PPARGC1A	ENSG00000109819	Others	10891
Homo_sapiens	HTATIP2	ENSG00000109854	Others	10553
Homo_sapiens	ELP4	ENSG00000109911	ELP	26610
Homo_sapiens	HSPA8	ENSG00000109971	Heat shock protein	3312
Homo_sapiens	LPXN	ENSG00000110031	Others	9404
Homo_sapiens	KMT5B	ENSG00000110066	Lysine methyltransferase	51111
Homo_sapiens	CCND1	ENSG00000110092	Cyclin	595
Homo_sapiens	RNF141	ENSG00000110315	Ring finger protein	50862
Homo_sapiens	BIRC2	ENSG00000110330	Others	329
Homo_sapiens	CBL	ENSG00000110395	Others	867
Homo_sapiens	HIPK3	ENSG00000110422	HIPK	10114
Homo_sapiens	AIP	ENSG00000110711	Others	9049
Homo_sapiens	NUP98	ENSG00000110713	Others	4928
Homo_sapiens	GTF2H1	ENSG00000110768	GTF	2965
Homo_sapiens	POU2AF1	ENSG00000110777	Others	5450
Homo_sapiens	PRMT8	ENSG00000111218	Arginine methyltransferase	56341
Homo_sapiens	CDKN1B	ENSG00000111276	Cyclin	1027
Homo_sapiens	GTF2H3	ENSG00000111358	GTF	2967
Homo_sapiens	CNOT2	ENSG00000111596	CCR4-NOT	4848
Homo_sapiens	TIMELESS	ENSG00000111602	Others	8914
Homo_sapiens	CHD4	ENSG00000111642	CHD	1108
Homo_sapiens	ING4	ENSG00000111653	ING	51147
Homo_sapiens	ATN1	ENSG00000111676	Others	1822
Homo_sapiens	SUDS3	ENSG00000111707	Other_Co-activator/repressors	64426
Homo_sapiens	HCFC2	ENSG00000111727	Others	29915
Homo_sapiens	BTN3A3	ENSG00000111801	Others	10384
Homo_sapiens	TDP2	ENSG00000111802	Others	51567
Homo_sapiens	FRK	ENSG00000111816	Others	2444
Homo_sapiens	MAK	ENSG00000111837	Others	4117
Homo_sapiens	ASF1A	ENSG00000111875	Others	25842
Homo_sapiens	NCOA7	ENSG00000111912	Nuclear receptor coactivator	135112
Homo_sapiens	RNF8	ENSG00000112130	Ring finger protein	9025
Homo_sapiens	ZNF451	ENSG00000112200	Zinc finger	26036
Homo_sapiens	FHL5	ENSG00000112214	FHL	9457
Homo_sapiens	CCNC	ENSG00000112237	Cyclin	892
Homo_sapiens	ASCC3	ENSG00000112249	ASCC	10973
Homo_sapiens	MED23	ENSG00000112282	Mediator complex	9439
Homo_sapiens	GMNN	ENSG00000112312	Others	51053
Homo_sapiens	EYA4	ENSG00000112319	EYA	2070
Homo_sapiens	PHF1	ENSG00000112511	PHF	5252
Homo_sapiens	MDFI	ENSG00000112559	Others	4188
Homo_sapiens	TBP	ENSG00000112592	TATA-box	6908
Homo_sapiens	VEGFA	ENSG00000112715	Other_CRF	7422
Homo_sapiens	ERBIN	ENSG00000112851	Erbb2	55914
Homo_sapiens	BRD8	ENSG00000112983	Bromodomain	10902
Homo_sapiens	CNOT6	ENSG00000113300	CCR4-NOT	57472
Homo_sapiens	FGF1	ENSG00000113578	FGF	2246
Homo_sapiens	WWC1	ENSG00000113645	WW	23286
Homo_sapiens	TCERG1	ENSG00000113649	TEF	10915
Homo_sapiens	ACTR8	ENSG00000113812	ACTR	93973
Homo_sapiens	KAT2B	ENSG00000114166	Lysine acetyltransferase	8850
Homo_sapiens	INO80D	ENSG00000114933	INO80 complex	54891
Homo_sapiens	KCNIP3	ENSG00000115041	Others	30818
Homo_sapiens	NCL	ENSG00000115053	Others	4691
Homo_sapiens	INO80B	ENSG00000115274	INO80 complex	83444
Homo_sapiens	PCGF1	ENSG00000115289	PCGF	84759
Homo_sapiens	LOXL3	ENSG00000115318	Others	84695
Homo_sapiens	KDM3A	ENSG00000115548	Lysine demethylase	55818
Homo_sapiens	SMYD1	ENSG00000115593	SMYD	150572
Homo_sapiens	FHL2	ENSG00000115641	FHL	2274
Homo_sapiens	TAF1B	ENSG00000115750	TATA-box	9014
Homo_sapiens	ORC2	ENSG00000115942	Others	4999
Homo_sapiens	TRAK2	ENSG00000115993	Others	66008
Homo_sapiens	SUMO1	ENSG00000116030	Others	7341
Homo_sapiens	BCL9	ENSG00000116128	BCL	607
Homo_sapiens	PARK7	ENSG00000116288	Others	11315
Homo_sapiens	WDR77	ENSG00000116455	WD	79084
Homo_sapiens	HDAC1	ENSG00000116478	Histone deacetylase	3065
Homo_sapiens	ASH1L	ENSG00000116539	Others	55870
Homo_sapiens	MAD2L2	ENSG00000116670	Others	10459
Homo_sapiens	CTH	ENSG00000116761	Others	1491
Homo_sapiens	TTF2	ENSG00000116830	Others	8458
Homo_sapiens	PADI2	ENSG00000117115	Other_CRF	11240
Homo_sapiens	KDM5B	ENSG00000117139	Lysine demethylase	10765
Homo_sapiens	RBBP5	ENSG00000117222	RBBP	5929
Homo_sapiens	DR1	ENSG00000117505	Others	1810
Homo_sapiens	CENPF	ENSG00000117724	CENP	1063
Homo_sapiens	KMT2A	ENSG00000118058	Lysine methyltransferase	4297
Homo_sapiens	TNP1	ENSG00000118245	Other_CRF	7141
Homo_sapiens	CASP8AP2	ENSG00000118412	Others	9994
Homo_sapiens	SGK1	ENSG00000118515	Others	6446
Homo_sapiens	MED28	ENSG00000118579	Mediator complex	80306
Homo_sapiens	ELL2	ENSG00000118985	GTF	22936
Homo_sapiens	HEATR1	ENSG00000119285	Others	55127
Homo_sapiens	TRIM32	ENSG00000119401	Tripartite motif	22954
Homo_sapiens	PHF19	ENSG00000119403	PHF	26147
Homo_sapiens	IRF2BPL	ENSG00000119669	Others	64207
Homo_sapiens	SUPT7L	ENSG00000119760	SUPT	9913
Homo_sapiens	HELLS	ENSG00000119969	Others	3070
Homo_sapiens	SLC25A2	ENSG00000120329	SLC	83884
Homo_sapiens	ENY2	ENSG00000120533	Others	56943
Homo_sapiens	EPC1	ENSG00000120616	Others	80314
Homo_sapiens	TAF12	ENSG00000120656	TATA-box	6883
Homo_sapiens	KDM3B	ENSG00000120733	Lysine demethylase	51780
Homo_sapiens	CLU	ENSG00000120885	Others	1191
Homo_sapiens	COPS5	ENSG00000121022	Others	10987
Homo_sapiens	TRIM25	ENSG00000121060	Tripartite motif	7706
Homo_sapiens	TRIM6	ENSG00000121236	Tripartite motif	117854
Homo_sapiens	PSPC1	ENSG00000121390	Others	55269
Homo_sapiens	RNF2	ENSG00000121481	Ring finger protein	6045
Homo_sapiens	DPPA4	ENSG00000121570	Others	55211
Homo_sapiens	ZMYM2	ENSG00000121741	Zinc finger	7750
Homo_sapiens	LRIF1	ENSG00000121931	Others	55791
Homo_sapiens	RWDD3	ENSG00000122481	Others	25950
Homo_sapiens	RPAP2	ENSG00000122484	Others	79871
Homo_sapiens	CBX3	ENSG00000122565	Chromobox	11335
Homo_sapiens	TAF1L	ENSG00000122728	TATA-box	138474
Homo_sapiens	TRIM24	ENSG00000122779	Tripartite motif	8805
Homo_sapiens	ECD	ENSG00000122882	Others	11319
Homo_sapiens	DDX54	ENSG00000123064	RNA helicase	79039
Homo_sapiens	MED13L	ENSG00000123066	Mediator complex	23389
Homo_sapiens	WWP1	ENSG00000123124	WW	11059
Homo_sapiens	PFDN5	ENSG00000123349	Others	5204
Homo_sapiens	CDK2	ENSG00000123374	Cyclin	1017
Homo_sapiens	MORF4L2	ENSG00000123562	Other_CRF	9643
Homo_sapiens	NMI	ENSG00000123609	Others	9111
Homo_sapiens	RAP2C	ENSG00000123728	Others	57826
Homo_sapiens	AGO2	ENSG00000123908	Others	27161
Homo_sapiens	NCOA3	ENSG00000124151	Nuclear receptor coactivator	8202
Homo_sapiens	CHD6	ENSG00000124177	CHD	84181
Homo_sapiens	SIRT5	ENSG00000124523	Sirtuin	23408
Homo_sapiens	HIST1H1D	ENSG00000124575	Histone cluster 1 H1	3007
Homo_sapiens	MED20	ENSG00000124641	Mediator complex	9477
Homo_sapiens	DEK	ENSG00000124795	Other_CRF	7913
Homo_sapiens	CNOT1	ENSG00000125107	CCR4-NOT	23019
Homo_sapiens	GTF2F1	ENSG00000125651	GTF	2962
Homo_sapiens	MED1	ENSG00000125686	Mediator complex	5469
Homo_sapiens	CENPB	ENSG00000125817	CENP	1059
Homo_sapiens	CITED1	ENSG00000125931	CITED	4435
Homo_sapiens	RALY	ENSG00000125970	Others	22913
Homo_sapiens	KDM5C	ENSG00000126012	Lysine demethylase	8242
Homo_sapiens	PRDX5	ENSG00000126432	Others	25824
Homo_sapiens	PRMT1	ENSG00000126457	Arginine methyltransferase	3276
Homo_sapiens	SSX1	ENSG00000126752	SSX	6756
Homo_sapiens	UXT	ENSG00000126756	Others	8409
Homo_sapiens	PRDM7	ENSG00000126856	Others	11105
Homo_sapiens	PIN1	ENSG00000127445	Others	5300
Homo_sapiens	SIN3B	ENSG00000127511	Others	23309
Homo_sapiens	SMARCA4	ENSG00000127616	SWI/SNF	6597
Homo_sapiens	KDM4B	ENSG00000127663	Lysine demethylase	23030
Homo_sapiens	RNF6	ENSG00000127870	Ring finger protein	6049
Homo_sapiens	HAT1	ENSG00000128708	Others	8520
Homo_sapiens	ELL3	ENSG00000128886	GTF	80237
Homo_sapiens	INO80	ENSG00000128908	INO80 complex	54617
Homo_sapiens	ICE2	ENSG00000128915	GTF	79664
Homo_sapiens	CSRP3	ENSG00000129170	Others	8048
Homo_sapiens	CCNT1	ENSG00000129315	Cyclin	904
Homo_sapiens	RIPK3	ENSG00000129465	Others	11035
Homo_sapiens	AJUBA	ENSG00000129474	Others	84962
Homo_sapiens	SNX6	ENSG00000129515	Others	58533
Homo_sapiens	EAPP	ENSG00000129518	Others	55837
Homo_sapiens	NEDD8	ENSG00000129559	Others	4738
Homo_sapiens	ASH2L	ENSG00000129691	Others	9070
Homo_sapiens	CDKN1C	ENSG00000129757	Cyclin	1028
Homo_sapiens	CDY2B	ENSG00000129873	Chromodomain Y	203611
Homo_sapiens	CBFA2T3	ENSG00000129993	Others	863
Homo_sapiens	PHF10	ENSG00000130024	PHF	55274
Homo_sapiens	ELOF1	ENSG00000130165	GTF	84337
Homo_sapiens	SAFB2	ENSG00000130254	Others	9667
Homo_sapiens	MLLT1	ENSG00000130382	GTF	4298
Homo_sapiens	ACTN4	ENSG00000130402	Actin	81
Homo_sapiens	HELZ2	ENSG00000130589	Others	85441
Homo_sapiens	TNNI2	ENSG00000130598	Others	7136
Homo_sapiens	TAF4	ENSG00000130699	TATA-box	6874
Homo_sapiens	TRIM28	ENSG00000130726	Tripartite motif	10155
Homo_sapiens	MED18	ENSG00000130772	Mediator complex	54797
Homo_sapiens	CCDC62	ENSG00000130783	Coiled-coil	84660
Homo_sapiens	DNMT1	ENSG00000130816	DNA_methylase	1786
Homo_sapiens	NOL11	ENSG00000130935	Nuclear coactivator	25926
Homo_sapiens	HABP4	ENSG00000130956	Others	22927
Homo_sapiens	RBM39	ENSG00000131051	RNA binding protein	9584
Homo_sapiens	CHMP1A	ENSG00000131165	Others	5119
Homo_sapiens	RLIM	ENSG00000131263	Ring finger protein	51132
Homo_sapiens	CHD1L	ENSG00000131778	CHD	9557
Homo_sapiens	DNAJB1	ENSG00000132002	Others	3337
Homo_sapiens	RAF1	ENSG00000132155	Others	5894
Homo_sapiens	TRIM5	ENSG00000132256	Tripartite motif	85363
Homo_sapiens	TRIM22	ENSG00000132274	Tripartite motif	10346
Homo_sapiens	PER2	ENSG00000132326	Others	8864
Homo_sapiens	RAN	ENSG00000132341	Others	5901
Homo_sapiens	MYBBP1A	ENSG00000132382	Others	10514
Homo_sapiens	LANCL2	ENSG00000132434	Others	55915
Homo_sapiens	WBP2	ENSG00000132471	WW	23558
Homo_sapiens	KDM6B	ENSG00000132510	Lysine demethylase	23135
Homo_sapiens	GPS2	ENSG00000132522	Others	2874
Homo_sapiens	PCBD2	ENSG00000132570	Others	84105
Homo_sapiens	PRMT7	ENSG00000132600	Arginine methyltransferase	54496
