# From df_markers_by_cell_type_and_indiv.txt.
# Expanded metadata and filtered for excitatory lineage cells (rg, ipc, neuron).
# See `compare_markers_MAST_wilcox.Rmd`
# [2020-11-28]
# 
gene	p_val_adj	avg_logfc	gene.score	gene.ratio	pct.1	pct.2	p_val	stage_area	area	individual	celltype_stage	celltype_region	cell_type	file	stage_region	stage	region
SEC22B	1	0.55771	1.48007	2.65385	0.276	0.104	1e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ATOX1	1	0.37125	0.57484	1.54839	0.672	0.434	1.1e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PPP1CB	1	0.64402	0.9545	1.4821	0.621	0.419	1.6e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PABPC1	1	0.47342	0.59638	1.25972	0.81	0.643	1.8e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CBX3	1	0.47178	0.59236	1.25557	0.845	0.673	1.8e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TMEM147	1	0.48699	1.00738	2.06857	0.362	0.175	1.9e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ABI1	1	0.33578	0.91545	2.72632	0.259	0.095	2e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CREB5	1	0.56093	1.34624	2.4	0.276	0.115	2.4e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
DDX3X	1	0.47816	0.94718	1.98086	0.414	0.209	2.4e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
NME2	1	0.4008	0.86362	2.15476	0.362	0.168	3e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ZEB2	1	0.49133	0.85116	1.73234	0.466	0.269	3.4e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CTNNB1	1	1.1505	2.192	1.90526	0.362	0.19	3.5e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ANAPC11	1	0.37416	0.50005	1.33648	0.707	0.529	3.7e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CLIC4	1	0.41874	0.9975	2.38211	0.293	0.123	3.9e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
B2M	1	0.57019	1.3932	2.4434	0.259	0.106	5.8e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TMED9	1	0.35906	0.65853	1.83404	0.431	0.235	6.6e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
BSG	1	0.59253	0.98603	1.66409	0.431	0.259	7.4e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
LDB2	1	0.46621	1.02939	2.208	0.276	0.125	9.4e-4	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EIF5B	1	0.42621	0.52075	1.22182	0.672	0.55	0.00102	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PPP1CA	1	0.39752	0.76092	1.91414	0.379	0.198	0.0011	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ERP29	1	0.42877	0.7668	1.78838	0.431	0.241	0.00118	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SMARCA2	1	0.38077	0.89653	2.35455	0.259	0.11	0.00122	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MDK	1	0.28882	0.48952	1.69492	0.5	0.295	0.00124	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
DPM2	1	0.35183	0.80642	2.29204	0.259	0.113	0.00124	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HNRNPH1	1	0.58806	0.75843	1.28972	0.69	0.535	0.00125	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
NUDT21	1	0.40528	0.87389	2.15625	0.276	0.128	0.00131	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ZNF532	1	0.42316	0.96989	2.29204	0.259	0.113	0.00136	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PABPN1	1	0.41554	0.77539	1.86598	0.362	0.194	0.00141	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MRPL22	1	0.36907	0.79581	2.15625	0.276	0.128	0.00158	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SLIRP	1	0.37406	0.46443	1.2416	0.776	0.625	0.00162	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
KLHL9	1	0.32639	0.73508	2.25217	0.259	0.115	0.00164	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SERF2	1	0.36612	0.39156	1.06948	0.862	0.806	0.00171	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EIF5	1	0.38051	0.6202	1.62992	0.414	0.254	0.00174	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
WSB1	1	0.35552	0.49864000000000003	1.40257	0.655	0.467	0.00179	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RBP1	1	0.46766	0.73874	1.57966	0.466	0.295	0.00185	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EIF2S2	1	0.44118	0.55787	1.26448	0.655	0.518	0.00187	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CNIH4	1	0.32731	0.73716	2.25217	0.259	0.115	0.00193	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
NDUFA2	1	0.42049	0.64691	1.53846	0.5	0.325	0.00199	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
GNAQ	1	0.41339	0.68312	1.65248	0.466	0.282	0.00201	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RSU1	1	0.33374	0.69847	2.09286	0.293	0.14	0.00203	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MYEOV2	1	0.31261	0.36653	1.17247	0.741	0.632	0.00204	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PRKAR1A	1	0.39954	0.70104	1.75463	0.379	0.216	0.00219	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SPTSSA	1	0.36392	0.76092	2.09091	0.276	0.132	0.00241	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
BMPR2	1	0.29794	0.59588	2	0.328	0.164	0.00251	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
YIPF3	1	0.47928	0.83816	1.74879	0.362	0.207	0.00252	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RBX1	1	0.33934	0.43131	1.27101	0.741	0.583	0.00257	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
YAF2	1	0.41556	0.70805	1.70386	0.397	0.233	0.00257	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SLC25A11	1	0.35545	0.76084	2.1405	0.259	0.121	0.0028	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ARPC2	1	0.37362	0.49406	1.32237	0.603	0.456	0.00298	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CERS6	1	0.43185	0.8094	1.87429	0.328	0.175	0.00325	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RNASEH2C	1	0.38756	0.81607	2.10569	0.259	0.123	0.00327	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PRMT1	1	0.30746	0.41405	1.34669	0.672	0.499	0.00334	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HSPE1	1	0.33244	0.47054	1.41542	0.569	0.402	0.00341	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
GOLIM4	1	0.51066	1.03329	2.02344	0.259	0.128	0.00341	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ARF4	1	0.34243	0.44027	1.28571	0.603	0.469	0.00349	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EXOC5	1	0.34114	0.69231	2.02941	0.276	0.136	0.00364	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
DYNC1H1	1	0.32029	0.58777	1.83511	0.345	0.188	0.00367	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SLC3A2	1	0.42642	0.80605	1.89024	0.31	0.164	0.00388	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CD320	1	0.35509	0.74771	2.10569	0.259	0.123	0.00404	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RAB5A	1	0.35695	0.71146	1.9932	0.293	0.147	0.00415	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
C16orf13	1	0.4072	0.74615	1.8324	0.328	0.179	0.00423	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
C4orf3	1	0.4181	0.68874	1.6473	0.397	0.241	0.0043	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HNRNPA0	1	0.30685	0.41353	1.34766	0.69	0.512	0.00436	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RAB10	1	0.38637	0.67793	1.75463	0.379	0.216	0.00449	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
NDUFA13	1	0.3647	0.42225	1.15781	0.741	0.64	0.00465	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
WTAP	1	0.46369	0.7776	1.67699	0.379	0.226	0.00475	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ZNF428	1	0.25133	0.3412	1.35758	0.672	0.495	0.00499	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
COX20	1	0.35853	0.5731	1.59846	0.414	0.259	0.00501	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RPS27L	1	0.61017	0.80368	1.31713	0.569	0.432	0.00517	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HIGD1A	1	0.29919	0.51542	1.72273	0.379	0.22	0.00529	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CD63	1	0.36324	0.54791	1.50842	0.448	0.297	0.00588	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SLC38A2	1	0.3275	0.6321	1.93007	0.276	0.143	0.00613	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CAMK2N1	1	0.36527	0.58473	1.60081	0.397	0.248	0.00677	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SAT1	1	0.43609	0.77911	1.78659	0.293	0.164	0.00719	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SRSF6	1	0.27361	0.40883	1.49422	0.517	0.346	0.00732	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ATP5I	1	0.25855	0.27741	1.07297	0.897	0.836	0.00732	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
FYTTD1	1	0.29663	0.53153	1.79191	0.31	0.173	0.0074	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ACADM	1	0.50457	0.88139	1.74684	0.276	0.158	0.00743	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TAOK1	1	0.32178	0.63137	1.96212	0.259	0.132	0.00745	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
GPX4	1	0.26236	0.3341	1.27345	0.638	0.501	0.00797	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ARL2	1	0.25738	0.5074	1.97143	0.276	0.14	0.00803	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TMEM256	1	0.32704	0.57671	1.76344	0.328	0.186	0.00811	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CANX	1	0.42372	0.74211	1.75141	0.31	0.177	0.00823	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
SLC39A10	1	0.40767	0.73541	1.80392	0.276	0.153	0.00839	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HMP19	1	0.35835	0.50315	1.40407	0.483	0.344	0.00854	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EIF4E2	1	0.32704	0.6225	1.90345	0.276	0.145	0.00861	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
EDF1	1	0.30455	0.35837	1.17674	0.759	0.645	0.00885	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MLLT4	1	0.38835	0.71117	1.83125	0.293	0.16	0.009	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
MPHOSPH6	1	0.44592	0.73529	1.64894	0.31	0.188	0.00936	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
FOXP1	1	0.26966	0.51328	1.90345	0.276	0.145	0.0099	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
BCAP29	1	0.33539	0.62971	1.87755	0.276	0.147	0.00992	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
ACLY	1	0.2705	0.47916	1.77143	0.31	0.175	0.00994	early_motor	motor	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
FTH1	0	2.22178	4.92634	2.21729	1	0.451	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RPL13	0	1.31274	1.44575	1.10132	1	0.908	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
C4orf48	0	1.89861	89.37029	47.07143	0.659	0.014	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
RPS2	0	1.60315	3.79715	2.36856	0.919	0.388	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
YBX1	0	1.42161	3.93296	2.76656	0.877	0.317	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
HMGN1	0	1.13638	2.92549	2.57439	0.744	0.289	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
PCSK1N	0	1.25042	21.1484	16.91304	0.389	0.023	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
GADD45GIP1	0	1.01241	14.7362	14.55556	0.393	0.027	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TERF2IP	0	1.01747	4.09202	4.02174	0.555	0.138	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
COX5A	0	0.97997	5.41317	5.52381	0.464	0.084	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
CCNI	0	0.7813	1.21661	1.55717	0.858	0.551	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TSPAN13	0	0.94344	4.15781	4.40708	0.498	0.113	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
IER2	0	1.11186	7.68878	6.91525	0.408	0.059	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
TMEM160	0	0.84875	237.65112	280	0.28	0.001	0	early_somatosensory	somatosensory	gw14	ipc_early	ipc_msp	ipc	gw14_neocortex_ipc_byarea_clustermarkers.txt	early_msp	early	msp
